identifiant_paiement,identifiant_credit,identifiant_echeance,identifiant_institution,date_paiement,montant_paye,canal_paiement
PAI-0000773,CRD-000098,ECH-0000925,INS-005,2023-11-21,41666,agence
PAI-0000774,CRD-000098,ECH-0000926,INS-005,2023-12-21,41666,agence
PAI-0000775,CRD-000098,ECH-0000927,INS-005,2024-01-25,41666,agence
PAI-0000776,CRD-000098,ECH-0000928,INS-005,2024-02-19,41666,agence
PAI-0000777,CRD-000098,ECH-0000929,INS-005,2024-03-22,41666,mobile_money
PAI-0000778,CRD-000098,ECH-0000930,INS-005,2024-04-18,41670,agence
PAI-0000779,CRD-000099,ECH-0000931,INS-005,2025-08-09,66666,collecteur
PAI-0000780,CRD-000099,ECH-0000932,INS-005,2025-09-15,66666,agence
PAI-0000781,CRD-000099,ECH-0000933,INS-005,2025-10-11,66666,mobile_money
PAI-0000782,CRD-000099,ECH-0000934,INS-005,2025-11-19,22917,mobile_money
PAI-0000783,CRD-000099,,INS-005,2025-12-02,43749,agence
PAI-0000784,CRD-000099,ECH-0000935,INS-005,2025-12-15,66666,agence
PAI-0000785,CRD-000100,ECH-0000940,INS-005,2021-12-01,17092,agence
PAI-0000786,CRD-000100,ECH-0000940,INS-005,2021-12-21,32500,collecteur
PAI-0000787,CRD-000100,ECH-0000941,INS-005,2022-01-19,32500,mobile_money
PAI-0000788,CRD-000100,,INS-005,2022-01-25,15408,agence
PAI-0000789,CRD-000100,ECH-0000943,INS-005,2022-02-23,32500,agence
PAI-0000790,CRD-000100,ECH-0000944,INS-005,2022-03-25,32500,agence
PAI-0000791,CRD-000100,ECH-0000945,INS-005,2022-04-25,32500,mobile_money
PAI-0000792,CRD-000101,ECH-0000946,INS-005,2022-08-29,30833,agence
PAI-0000793,CRD-000101,ECH-0000947,INS-005,2022-10-01,11646,agence
PAI-0000794,CRD-000101,ECH-0000947,INS-005,2022-10-29,30833,agence
PAI-0000795,CRD-000101,ECH-0000948,INS-005,2022-11-27,30833,agence
PAI-0000796,CRD-000101,ECH-0000949,INS-005,2022-12-29,30833,agence
PAI-0000797,CRD-000101,ECH-0000950,INS-005,2023-01-28,30835,mobile_money
PAI-0000798,CRD-000102,ECH-0000952,INS-005,2021-12-08,9583,mobile_money
PAI-0000799,CRD-000102,ECH-0000953,INS-005,2022-01-02,9583,agence
PAI-0000800,CRD-000102,ECH-0000954,INS-005,2022-02-04,9583,mobile_money
PAI-0000801,CRD-000102,ECH-0000955,INS-005,2022-03-04,9583,mobile_money
