identifiant_demande,identifiant_client,identifiant_institution,identifiant_agent,identifiant_produit,date_demande,montant_demande,duree_demandee_mois,objet_credit,identifiant_releve_instruction,rang_demande_client
DEM-000134,CLT-000201,INS-005,AGT-0013,PRO-001,2023-09-18,250000,6,tresorerie,REL-000581,1
DEM-000135,CLT-000201,INS-005,AGT-0014,PRO-002,2025-06-26,600000,6,achat_stock,REL-000585,2
DEM-000136,CLT-000202,INS-005,AGT-0013,PRO-001,2021-04-10,250000,6,tresorerie,REL-000588,1
DEM-000137,CLT-000202,INS-005,AGT-0013,PRO-001,2021-10-05,250000,6,tresorerie,REL-000589,2
DEM-000138,CLT-000202,INS-005,AGT-0013,PRO-001,2022-07-12,250000,6,tresorerie,REL-000591,3
DEM-000139,CLT-000203,INS-005,AGT-0013,PRO-004,2021-05-04,115000,9,intrants,REL-000594,1
DEM-000140,CLT-000204,INS-005,AGT-0013,PRO-003,2021-10-24,100000,6,achat_stock,REL-000596,1
DEM-000141,CLT-000206,INS-005,AGT-0014,PRO-001,2025-07-26,150000,3,tresorerie,REL-000606,1
DEM-000142,CLT-000207,INS-005,AGT-0015,PRO-005,2022-10-25,1500000,18,equipement,REL-000609,1
DEM-000143,CLT-000208,INS-005,AGT-0015,PRO-001,2022-07-03,135000,3,tresorerie,REL-000612,1
DEM-000144,CLT-000208,INS-005,AGT-0015,PRO-001,2023-08-05,250000,6,tresorerie,REL-000613,2
DEM-000145,CLT-000210,INS-005,AGT-0015,PRO-003,2022-07-08,110000,12,achat_stock,REL-000617,1
DEM-000146,CLT-000211,INS-005,AGT-0015,PRO-001,2023-04-19,195000,9,tresorerie,REL-000621,1
DEM-000147,CLT-000211,INS-005,AGT-0015,PRO-002,2024-05-03,480000,6,achat_stock,REL-000622,2
DEM-000148,CLT-000212,INS-005,AGT-0014,PRO-005,2025-11-18,190000,12,equipement,REL-000630,1
DEM-000149,CLT-000213,INS-005,AGT-0015,PRO-002,2023-06-10,70000,6,achat_stock,REL-000633,1
DEM-000150,CLT-000213,INS-005,AGT-0015,PRO-002,2024-04-17,165000,6,achat_stock,REL-000635,2
DEM-000151,CLT-000215,INS-005,AGT-0013,PRO-001,2024-07-10,250000,6,tresorerie,REL-000639,1
DEM-000152,CLT-000215,INS-005,AGT-0014,PRO-001,2025-09-05,185000,9,tresorerie,REL-000641,2
DEM-000153,CLT-000216,INS-005,AGT-0015,PRO-001,2023-06-14,250000,9,tresorerie,REL-000643,1
DEM-000154,CLT-000216,INS-005,AGT-0015,PRO-002,2023-12-23,170000,3,achat_stock,REL-000644,2
DEM-000155,CLT-000217,INS-005,AGT-0013,PRO-001,2024-05-25,250000,9,tresorerie,REL-000646,1
DEM-000156,CLT-000218,INS-005,AGT-0013,PRO-001,2023-08-12,250000,6,tresorerie,REL-000649,1
DEM-000157,CLT-000218,INS-005,AGT-0015,PRO-002,2024-08-21,210000,6,achat_stock,REL-000651,2
DEM-000158,CLT-000219,INS-005,AGT-0015,PRO-001,2024-03-16,250000,9,tresorerie,REL-000654,1
DEM-000159,CLT-000219,INS-005,AGT-0014,PRO-002,2025-10-08,540000,12,achat_stock,REL-000660,2
DEM-000160,CLT-000222,INS-005,AGT-0014,PRO-003,2025-10-06,455000,12,achat_stock,REL-000668,1
DEM-000161,CLT-000224,INS-005,AGT-0014,PRO-001,2025-10-18,250000,9,tresorerie,REL-000674,1
DEM-000162,CLT-000227,INS-005,AGT-0015,PRO-001,2024-08-23,250000,6,tresorerie,REL-000679,1
DEM-000163,CLT-000227,INS-005,AGT-0014,PRO-001,2025-08-06,250000,9,tresorerie,REL-000680,2
DEM-000164,CLT-000229,INS-005,AGT-0014,PRO-001,2025-10-05,250000,6,tresorerie,REL-000684,1
DEM-000165,CLT-000236,INS-005,AGT-0014,PRO-003,2025-10-19,180000,9,achat_stock,REL-000695,1
DEM-000166,CLT-000237,INS-005,AGT-0014,PRO-002,2025-08-09,85000,12,achat_stock,REL-000697,1
DEM-000167,CLT-000241,INS-005,AGT-0014,PRO-001,2025-06-17,250000,6,tresorerie,REL-000703,1
DEM-000168,CLT-000245,INS-005,AGT-0014,PRO-001,2025-09-09,250000,6,tresorerie,REL-000708,1
DEM-000169,CLT-000247,INS-005,AGT-0014,PRO-002,2025-09-22,50000,6,achat_stock,REL-000712,1
