identifiant_activite,identifiant_client,identifiant_institution,code_secteur,libelle_activite,est_activite_principale,date_debut_activite,date_fin_activite
ACT-000250,CLT-000201,INS-005,COMMERCE,Boutique de quartier,1,2012-06-12,
ACT-000251,CLT-000201,INS-005,RESTAURATION,Vente de repas,0,2012-06-12,
ACT-000252,CLT-000202,INS-005,AGRICULTURE,Riziculture,1,2016-04-12,
ACT-000253,CLT-000203,INS-005,AGRICULTURE,Riziculture,1,2013-08-09,
ACT-000254,CLT-000204,INS-005,COMMERCE,Commerce de condiments,1,2006-06-07,
ACT-000255,CLT-000205,INS-005,ARTISANAT,Forge,1,2011-12-22,
ACT-000256,CLT-000206,INS-005,COMMERCE,Vente de tissus,1,2019-06-28,
ACT-000257,CLT-000206,INS-005,RESTAURATION,Vente de beignets,0,2019-06-28,
ACT-000258,CLT-000207,INS-005,COMMERCE,Boutique de quartier,1,2015-07-02,
ACT-000259,CLT-000208,INS-005,COMMERCE,Boutique de quartier,1,2019-08-04,
ACT-000260,CLT-000209,INS-005,COMMERCE,Commerce de condiments,1,2019-10-17,
ACT-000261,CLT-000210,INS-005,COMMERCE,Boutique de quartier,1,2016-05-18,
ACT-000262,CLT-000211,INS-005,RESTAURATION,Restaurant de rue,1,2021-12-14,
ACT-000263,CLT-000212,INS-005,ARTISANAT,Couture,1,2020-06-15,
ACT-000264,CLT-000212,INS-005,TRANSPORT,Taxi moto,0,2020-06-15,
ACT-000265,CLT-000213,INS-005,COMMERCE,Vente de tissus,1,2020-04-26,
ACT-000266,CLT-000214,INS-005,COMMERCE,Commerce de condiments,1,2017-06-09,
ACT-000267,CLT-000215,INS-005,COMMERCE,Vente de tissus,1,2017-09-24,
ACT-000268,CLT-000216,INS-005,SERVICES,Réparation de téléphones,1,2018-10-15,
ACT-000269,CLT-000217,INS-005,TRANSPORT,Taxi moto,1,2017-04-04,
ACT-000270,CLT-000218,INS-005,PETITE_PRODUCTION,Fabrication de savon,1,2020-07-13,
ACT-000271,CLT-000219,INS-005,RESTAURATION,Préparation de jus,1,2020-05-13,
ACT-000272,CLT-000219,INS-005,PETITE_PRODUCTION,Production de jus,0,2020-05-13,
ACT-000273,CLT-000220,INS-005,RESTAURATION,Vente de beignets,1,2014-02-02,
ACT-000274,CLT-000221,INS-005,PETITE_PRODUCTION,Production de jus,1,2013-05-18,
ACT-000275,CLT-000222,INS-005,COMMERCE,Commerce de condiments,1,2020-04-23,
ACT-000276,CLT-000223,INS-005,PETITE_PRODUCTION,Production de jus,1,2019-04-07,
ACT-000277,CLT-000224,INS-005,AGRICULTURE,Production de mil,1,2018-01-22,
ACT-000278,CLT-000224,INS-005,TRANSPORT,Taxi moto,0,2018-01-22,
ACT-000279,CLT-000225,INS-005,RESTAURATION,Vente de repas,1,2015-05-13,
ACT-000280,CLT-000226,INS-005,COMMERCE,Boutique de quartier,1,1995-02-15,
ACT-000281,CLT-000227,INS-005,AGRICULTURE,Production de mil,1,2018-10-19,
ACT-000282,CLT-000228,INS-005,ELEVAGE,Élevage de petits ruminants,1,2019-03-23,
ACT-000283,CLT-000229,INS-005,SERVICES,Coiffure,1,2004-01-05,
ACT-000284,CLT-000229,INS-005,COMMERCE,Commerce de condiments,0,2004-01-05,
ACT-000285,CLT-000230,INS-005,RESTAURATION,Vente de repas,1,2021-08-08,
ACT-000286,CLT-000231,INS-005,COMMERCE,Boutique de quartier,1,2021-12-06,
ACT-000287,CLT-000232,INS-005,TRANSPORT,Livraison de marchandises,1,2020-04-22,
ACT-000288,CLT-000233,INS-005,RESTAURATION,Vente de repas,1,2021-04-03,
ACT-000289,CLT-000234,INS-005,PETITE_PRODUCTION,Production de jus,1,2021-05-16,
ACT-000290,CLT-000235,INS-005,ELEVAGE,Embouche bovine,1,2023-09-04,
ACT-000291,CLT-000235,INS-005,ARTISANAT,Teinture de tissus,0,2023-09-04,
ACT-000292,CLT-000236,INS-005,RESTAURATION,Restaurant de rue,1,2024-03-01,
ACT-000293,CLT-000237,INS-005,TRANSPORT,Taxi moto,1,2022-10-10,
ACT-000294,CLT-000238,INS-005,ARTISANAT,Forge,1,2016-01-24,
ACT-000295,CLT-000239,INS-005,AGRICULTURE,Culture maraîchère,1,2021-07-11,
ACT-000296,CLT-000240,INS-005,ARTISANAT,Teinture de tissus,1,1995-03-23,
ACT-000297,CLT-000240,INS-005,RESTAURATION,Vente de beignets,0,1995-03-23,
ACT-000298,CLT-000241,INS-005,TRANSPORT,Location de tricycle,1,2020-01-22,
ACT-000299,CLT-000242,INS-005,TRANSPORT,Location de tricycle,1,2009-10-18,
ACT-000300,CLT-000243,INS-005,ARTISANAT,Teinture de tissus,1,2008-04-19,
ACT-000301,CLT-000244,INS-005,AGRICULTURE,Culture d'arachide,1,2020-01-28,
ACT-000302,CLT-000245,INS-005,PETITE_PRODUCTION,Production de jus,1,2015-10-02,
ACT-000303,CLT-000246,INS-005,AGRICULTURE,Riziculture,1,2011-05-03,
ACT-000304,CLT-000246,INS-005,COMMERCE,Vente de tissus,0,2011-05-03,
ACT-000305,CLT-000247,INS-005,SERVICES,Réparation de téléphones,1,2021-01-07,
ACT-000306,CLT-000248,INS-005,RESTAURATION,Préparation de jus,1,2023-09-26,
ACT-000307,CLT-000249,INS-005,ELEVAGE,Élevage de petits ruminants,1,2024-04-02,
ACT-000308,CLT-000250,INS-005,AGRICULTURE,Riziculture,1,2025-02-20,
