identifiant_echeance,identifiant_credit,identifiant_institution,numero_echeance,date_exigible,montant_capital_du,montant_interet_du,montant_total_du
ECH-0000925,CRD-000098,INS-005,1,2023-11-21,41666,0,41666
ECH-0000926,CRD-000098,INS-005,2,2023-12-21,41666,0,41666
ECH-0000927,CRD-000098,INS-005,3,2024-01-21,41666,0,41666
ECH-0000928,CRD-000098,INS-005,4,2024-02-21,41666,0,41666
ECH-0000929,CRD-000098,INS-005,5,2024-03-21,41666,0,41666
ECH-0000930,CRD-000098,INS-005,6,2024-04-21,41670,0,41670
ECH-0000931,CRD-000099,INS-005,1,2025-08-12,66666,0,66666
ECH-0000932,CRD-000099,INS-005,2,2025-09-12,66666,0,66666
ECH-0000933,CRD-000099,INS-005,3,2025-10-12,66666,0,66666
ECH-0000934,CRD-000099,INS-005,4,2025-11-12,66666,0,66666
ECH-0000935,CRD-000099,INS-005,5,2025-12-12,66666,0,66666
ECH-0000936,CRD-000099,INS-005,6,2026-01-12,66666,0,66666
ECH-0000937,CRD-000099,INS-005,7,2026-02-12,66666,0,66666
ECH-0000938,CRD-000099,INS-005,8,2026-03-12,66666,0,66666
ECH-0000939,CRD-000099,INS-005,9,2026-04-12,66672,0,66672
ECH-0000940,CRD-000100,INS-005,1,2021-11-22,32500,0,32500
ECH-0000941,CRD-000100,INS-005,2,2021-12-22,32500,0,32500
ECH-0000942,CRD-000100,INS-005,3,2022-01-22,32500,0,32500
ECH-0000943,CRD-000100,INS-005,4,2022-02-22,32500,0,32500
ECH-0000944,CRD-000100,INS-005,5,2022-03-22,32500,0,32500
ECH-0000945,CRD-000100,INS-005,6,2022-04-22,32500,0,32500
ECH-0000946,CRD-000101,INS-005,1,2022-08-25,30833,0,30833
ECH-0000947,CRD-000101,INS-005,2,2022-09-25,30833,0,30833
ECH-0000948,CRD-000101,INS-005,3,2022-10-25,30833,0,30833
ECH-0000949,CRD-000101,INS-005,4,2022-11-25,30833,0,30833
ECH-0000950,CRD-000101,INS-005,5,2022-12-25,30833,0,30833
ECH-0000951,CRD-000101,INS-005,6,2023-01-25,30835,0,30835
ECH-0000952,CRD-000102,INS-005,1,2021-12-04,9583,0,9583
ECH-0000953,CRD-000102,INS-005,2,2022-01-04,9583,0,9583
ECH-0000954,CRD-000102,INS-005,3,2022-02-04,9583,0,9583
ECH-0000955,CRD-000102,INS-005,4,2022-03-04,9583,0,9583
ECH-0000956,CRD-000102,INS-005,5,2022-04-04,9583,0,9583
ECH-0000957,CRD-000102,INS-005,6,2022-05-04,9583,0,9583
ECH-0000958,CRD-000102,INS-005,7,2022-06-04,9583,0,9583
ECH-0000959,CRD-000102,INS-005,8,2022-07-04,9583,0,9583
ECH-0000960,CRD-000102,INS-005,9,2022-08-04,9583,0,9583
ECH-0000961,CRD-000102,INS-005,10,2022-09-04,9583,0,9583
ECH-0000962,CRD-000102,INS-005,11,2022-10-04,9583,0,9583
ECH-0000963,CRD-000102,INS-005,12,2022-11-04,9587,0,9587
ECH-0000964,CRD-000103,INS-005,1,2025-09-11,50000,0,50000
ECH-0000965,CRD-000103,INS-005,2,2025-10-11,50000,0,50000
ECH-0000966,CRD-000103,INS-005,3,2025-11-11,50000,0,50000
ECH-0000967,CRD-000104,INS-005,1,2022-12-07,71428,0,71428
ECH-0000968,CRD-000104,INS-005,2,2023-01-07,71428,0,71428
ECH-0000969,CRD-000104,INS-005,3,2023-02-07,71428,0,71428
ECH-0000970,CRD-000104,INS-005,4,2023-03-07,71428,0,71428
ECH-0000971,CRD-000104,INS-005,5,2023-04-07,71428,0,71428
ECH-0000972,CRD-000104,INS-005,6,2023-05-07,71428,0,71428
ECH-0000973,CRD-000104,INS-005,7,2023-06-07,71428,0,71428
ECH-0000974,CRD-000104,INS-005,8,2023-07-07,71428,0,71428
ECH-0000975,CRD-000104,INS-005,9,2023-08-07,71428,0,71428
ECH-0000976,CRD-000104,INS-005,10,2023-09-07,71428,0,71428
ECH-0000977,CRD-000104,INS-005,11,2023-10-07,71428,0,71428
ECH-0000978,CRD-000104,INS-005,12,2023-11-07,71428,0,71428
ECH-0000979,CRD-000104,INS-005,13,2023-12-07,71428,0,71428
ECH-0000980,CRD-000104,INS-005,14,2024-01-07,71428,0,71428
ECH-0000981,CRD-000104,INS-005,15,2024-02-07,71428,0,71428
ECH-0000982,CRD-000104,INS-005,16,2024-03-07,71428,0,71428
ECH-0000983,CRD-000104,INS-005,17,2024-04-07,71428,0,71428
ECH-0000984,CRD-000104,INS-005,18,2024-05-07,71428,0,71428
ECH-0000985,CRD-000104,INS-005,19,2024-06-07,71428,0,71428
ECH-0000986,CRD-000104,INS-005,20,2024-07-07,71428,0,71428
ECH-0000987,CRD-000104,INS-005,21,2024-08-07,71440,0,71440
ECH-0000988,CRD-000105,INS-005,1,2022-09-03,19166,0,19166
ECH-0000989,CRD-000105,INS-005,2,2022-10-03,19166,0,19166
ECH-0000990,CRD-000105,INS-005,3,2022-11-03,19166,0,19166
ECH-0000991,CRD-000105,INS-005,4,2022-12-03,19166,0,19166
ECH-0000992,CRD-000105,INS-005,5,2023-01-03,19166,0,19166
ECH-0000993,CRD-000105,INS-005,6,2023-02-03,19170,0,19170
ECH-0000994,CRD-000106,INS-005,1,2023-09-17,41666,0,41666
ECH-0000995,CRD-000106,INS-005,2,2023-10-17,41666,0,41666
ECH-0000996,CRD-000106,INS-005,3,2023-11-17,41666,0,41666
ECH-0000997,CRD-000106,INS-005,4,2023-12-17,41666,0,41666
