identifiant_demande,identifiant_client,identifiant_institution,identifiant_agent,identifiant_produit,date_demande,montant_demande,duree_demandee_mois,objet_credit,identifiant_releve_instruction,rang_demande_client
DEM-000058,CLT-000105,INS-003,AGT-0008,PRO-001,2023-11-03,250000,9,tresorerie,REL-000271,1
DEM-000059,CLT-000105,INS-003,AGT-0007,PRO-005,2025-10-21,670000,12,equipement,REL-000277,2
DEM-000060,CLT-000106,INS-003,AGT-0009,PRO-002,2021-05-12,600000,12,achat_stock,REL-000280,1
DEM-000061,CLT-000106,INS-003,AGT-0008,PRO-001,2023-09-14,75000,6,tresorerie,REL-000282,2
DEM-000062,CLT-000106,INS-003,AGT-0008,PRO-005,2025-07-25,150000,12,equipement,REL-000285,3
DEM-000063,CLT-000107,INS-003,AGT-0007,PRO-001,2025-07-26,25000,6,tresorerie,REL-000287,1
DEM-000064,CLT-000108,INS-003,AGT-0008,PRO-005,2024-01-14,1050000,12,equipement,REL-000290,1
DEM-000065,CLT-000108,INS-003,AGT-0008,PRO-002,2024-07-05,395000,9,achat_stock,REL-000292,2
DEM-000066,CLT-000108,INS-003,AGT-0007,PRO-005,2025-07-20,455000,12,equipement,REL-000293,3
DEM-000067,CLT-000110,INS-003,AGT-0008,PRO-002,2025-01-15,600000,6,achat_stock,REL-000300,1
DEM-000068,CLT-000113,INS-003,AGT-0008,PRO-005,2025-01-21,510000,12,equipement,REL-000311,1
DEM-000069,CLT-000114,INS-003,AGT-0007,PRO-001,2025-11-08,250000,9,tresorerie,REL-000316,1
DEM-000070,CLT-000115,INS-003,AGT-0008,PRO-005,2024-04-12,1500000,18,equipement,REL-000320,1
DEM-000071,CLT-000116,INS-003,AGT-0008,PRO-005,2025-03-17,750000,24,equipement,REL-000323,1
DEM-000072,CLT-000118,INS-003,AGT-0008,PRO-005,2024-02-15,340000,12,equipement,REL-000327,1
DEM-000073,CLT-000119,INS-003,AGT-0008,PRO-005,2025-01-14,1075000,18,equipement,REL-000330,1
DEM-000074,CLT-000122,INS-003,AGT-0008,PRO-002,2024-11-26,600000,9,achat_stock,REL-000344,1
DEM-000075,CLT-000123,INS-003,AGT-0008,PRO-001,2024-05-24,250000,6,tresorerie,REL-000347,1
DEM-000076,CLT-000124,INS-003,AGT-0008,PRO-001,2024-06-10,95000,6,tresorerie,REL-000351,1
DEM-000077,CLT-000124,INS-003,AGT-0008,PRO-005,2025-06-05,150000,12,equipement,REL-000353,2
DEM-000078,CLT-000126,INS-003,AGT-0008,PRO-002,2023-07-19,600000,12,achat_stock,REL-000357,1
DEM-000079,CLT-000126,INS-003,AGT-0008,PRO-002,2023-11-08,600000,12,achat_stock,REL-000359,2
DEM-000080,CLT-000129,INS-003,AGT-0008,PRO-002,2024-12-12,325000,12,achat_stock,REL-000367,1
DEM-000081,CLT-000130,INS-003,AGT-0008,PRO-001,2025-09-18,190000,6,tresorerie,REL-000371,1
DEM-000082,CLT-000131,INS-003,AGT-0008,PRO-005,2024-08-22,1500000,24,equipement,REL-000375,1
DEM-000083,CLT-000131,INS-003,AGT-0008,PRO-005,2025-01-13,1235000,12,equipement,REL-000377,2
DEM-000084,CLT-000131,INS-003,AGT-0008,PRO-005,2025-04-15,1190000,12,equipement,REL-000379,3
DEM-000085,CLT-000131,INS-003,AGT-0007,PRO-005,2025-09-13,1245000,12,equipement,REL-000381,4
DEM-000086,CLT-000132,INS-003,AGT-0008,PRO-005,2025-01-21,1095000,24,equipement,REL-000384,1
DEM-000087,CLT-000133,INS-003,AGT-0007,PRO-005,2025-08-06,1500000,12,equipement,REL-000386,1
DEM-000088,CLT-000138,INS-003,AGT-0008,PRO-001,2025-02-08,65000,6,tresorerie,REL-000395,1
DEM-000089,CLT-000140,INS-003,AGT-0007,PRO-005,2025-10-14,220000,12,equipement,REL-000401,1
