identifiant_activite,identifiant_client,identifiant_institution,code_secteur,libelle_activite,est_activite_principale,date_debut_activite,date_fin_activite
ACT-000121,CLT-000101,INS-003,PETITE_PRODUCTION,Transformation de céréales,1,2011-09-06,
ACT-000122,CLT-000102,INS-003,TRANSPORT,Taxi moto,1,1993-07-29,
ACT-000123,CLT-000103,INS-003,SERVICES,Secrétariat public,1,2007-03-31,
ACT-000124,CLT-000104,INS-003,SERVICES,Secrétariat public,1,2023-10-20,
ACT-000125,CLT-000105,INS-003,ARTISANAT,Forge,1,2007-10-09,
ACT-000126,CLT-000105,INS-003,COMMERCE,Commerce de condiments,0,2007-10-09,
ACT-000127,CLT-000106,INS-003,SERVICES,Secrétariat public,1,2018-10-01,
ACT-000128,CLT-000107,INS-003,AGRICULTURE,Culture maraîchère,1,2011-03-12,
ACT-000129,CLT-000108,INS-003,PETITE_PRODUCTION,Production de jus,1,2015-06-04,
ACT-000130,CLT-000109,INS-003,COMMERCE,Boutique de quartier,1,2020-08-12,
ACT-000131,CLT-000109,INS-003,PETITE_PRODUCTION,Séchage de fruits,0,2020-08-12,
ACT-000132,CLT-000110,INS-003,PETITE_PRODUCTION,Séchage de fruits,1,2016-04-02,
ACT-000133,CLT-000111,INS-003,PETITE_PRODUCTION,Séchage de fruits,1,2012-06-28,
ACT-000134,CLT-000112,INS-003,PETITE_PRODUCTION,Fabrication de savon,1,2020-02-05,
ACT-000135,CLT-000113,INS-003,PETITE_PRODUCTION,Fabrication de savon,1,2011-03-11,
ACT-000136,CLT-000113,INS-003,ARTISANAT,Forge,0,2011-03-11,
ACT-000137,CLT-000114,INS-003,SERVICES,Cabine de communication,1,2020-04-20,
ACT-000138,CLT-000115,INS-003,ARTISANAT,Menuiserie,1,2019-03-26,
ACT-000139,CLT-000116,INS-003,PETITE_PRODUCTION,Séchage de fruits,1,2019-11-30,
ACT-000140,CLT-000117,INS-003,SERVICES,Réparation de téléphones,1,2014-10-31,
ACT-000141,CLT-000117,INS-003,ARTISANAT,Teinture de tissus,0,2014-10-31,
ACT-000142,CLT-000118,INS-003,ARTISANAT,Couture,1,2018-10-18,
ACT-000143,CLT-000119,INS-003,ARTISANAT,Teinture de tissus,1,2010-06-14,
ACT-000144,CLT-000120,INS-003,TRANSPORT,Location de tricycle,1,2022-01-07,
ACT-000145,CLT-000120,INS-003,PETITE_PRODUCTION,Transformation de céréales,0,2022-01-07,
ACT-000146,CLT-000121,INS-003,SERVICES,Réparation de téléphones,1,2018-02-10,
ACT-000147,CLT-000122,INS-003,COMMERCE,Commerce de condiments,1,2017-10-15,
ACT-000148,CLT-000122,INS-003,ARTISANAT,Forge,0,2017-10-15,
ACT-000149,CLT-000123,INS-003,RESTAURATION,Vente de beignets,1,2011-05-15,
ACT-000150,CLT-000124,INS-003,ARTISANAT,Forge,1,2018-04-05,
ACT-000151,CLT-000125,INS-003,COMMERCE,Commerce de condiments,1,2022-07-06,
ACT-000152,CLT-000126,INS-003,RESTAURATION,Préparation de jus,1,2015-04-23,
ACT-000153,CLT-000126,INS-003,COMMERCE,Commerce de condiments,0,2015-04-23,
ACT-000154,CLT-000127,INS-003,PETITE_PRODUCTION,Séchage de fruits,1,2021-12-01,
ACT-000155,CLT-000128,INS-003,RESTAURATION,Vente de repas,1,2024-11-05,
ACT-000156,CLT-000129,INS-003,PETITE_PRODUCTION,Séchage de fruits,1,2021-02-10,
ACT-000157,CLT-000130,INS-003,RESTAURATION,Préparation de jus,1,2018-04-28,
ACT-000158,CLT-000130,INS-003,PETITE_PRODUCTION,Transformation de céréales,0,2018-04-28,
ACT-000159,CLT-000131,INS-003,ARTISANAT,Forge,1,2011-11-15,
