identifiant_paiement,identifiant_credit,identifiant_echeance,identifiant_institution,date_paiement,montant_paye,canal_paiement
PAI-0000376,CRD-000046,ECH-0000406,INS-003,2023-12-14,27777,mobile_money
PAI-0000377,CRD-000046,ECH-0000407,INS-003,2024-01-20,27777,agence
PAI-0000378,CRD-000046,ECH-0000408,INS-003,2024-02-17,27777,mobile_money
PAI-0000379,CRD-000046,ECH-0000409,INS-003,2024-03-16,27777,collecteur
PAI-0000380,CRD-000046,ECH-0000410,INS-003,2024-04-16,27777,agence
PAI-0000381,CRD-000046,ECH-0000411,INS-003,2024-05-20,27777,agence
PAI-0000382,CRD-000046,ECH-0000412,INS-003,2024-06-16,27777,agence
PAI-0000383,CRD-000046,ECH-0000413,INS-003,2024-07-17,27777,mobile_money
PAI-0000384,CRD-000046,ECH-0000414,INS-003,2024-08-16,27784,agence
PAI-0000385,CRD-000047,ECH-0000415,INS-003,2025-12-04,39583,collecteur
PAI-0000386,CRD-000048,ECH-0000427,INS-003,2021-07-07,38333,collecteur
PAI-0000387,CRD-000048,ECH-0000428,INS-003,2021-08-07,38333,collecteur
PAI-0000388,CRD-000048,ECH-0000429,INS-003,2021-09-07,38333,agence
PAI-0000389,CRD-000048,ECH-0000430,INS-003,2021-10-04,38333,mobile_money
PAI-0000390,CRD-000048,ECH-0000431,INS-003,2021-11-15,38333,agence
PAI-0000391,CRD-000048,ECH-0000432,INS-003,2021-12-23,38333,agence
PAI-0000392,CRD-000048,ECH-0000433,INS-003,2022-01-05,38333,agence
PAI-0000393,CRD-000048,ECH-0000434,INS-003,2022-02-06,38333,agence
PAI-0000394,CRD-000048,ECH-0000435,INS-003,2022-03-09,38333,agence
PAI-0000395,CRD-000048,ECH-0000436,INS-003,2022-04-07,38333,collecteur
PAI-0000396,CRD-000048,ECH-0000437,INS-003,2022-05-08,38333,agence
PAI-0000397,CRD-000048,ECH-0000438,INS-003,2022-06-03,38337,agence
PAI-0000398,CRD-000049,ECH-0000439,INS-003,2023-11-08,12500,agence
PAI-0000399,CRD-000049,ECH-0000440,INS-003,2023-12-06,12500,agence
PAI-0000400,CRD-000049,ECH-0000441,INS-003,2024-01-12,8472,mobile_money
PAI-0000401,CRD-000049,ECH-0000441,INS-003,2024-02-05,12500,agence
PAI-0000402,CRD-000049,,INS-003,2024-02-12,4028,mobile_money
PAI-0000403,CRD-000049,ECH-0000443,INS-003,2024-03-05,12500,mobile_money
PAI-0000404,CRD-000050,ECH-0000445,INS-003,2024-08-08,43888,agence
PAI-0000405,CRD-000050,ECH-0000446,INS-003,2024-09-03,43888,agence
