identifiant_client,identifiant_institution,identifiant_agence,date_entree_relation,date_sortie_relation,code_secteur_principal,anciennete_activite_mois_a_entree,possede_compte_epargne,montant_epargne_a_entree
CLT-000101,INS-003,AGE-025,2014-01-06,2016-06-06,PETITE_PRODUCTION,28,1,24500
CLT-000102,INS-003,AGE-020,2014-01-29,2016-06-29,TRANSPORT,246,1,41500
CLT-000103,INS-003,AGE-025,2014-07-31,2023-11-30,SERVICES,88,1,66500
CLT-000104,INS-003,AGE-022,2025-01-20,,SERVICES,15,0,
CLT-000105,INS-003,AGE-023,2018-12-09,,ARTISANAT,134,0,
CLT-000106,INS-003,AGE-023,2019-04-01,,SERVICES,6,0,
CLT-000107,INS-003,AGE-025,2021-01-12,,AGRICULTURE,118,0,
CLT-000108,INS-003,AGE-023,2021-02-04,,PETITE_PRODUCTION,68,1,205000
CLT-000109,INS-003,AGE-023,2021-04-12,,COMMERCE,8,1,130500
CLT-000110,INS-003,AGE-021,2021-09-02,,PETITE_PRODUCTION,65,1,5000
CLT-000111,INS-003,AGE-023,2021-09-28,2022-09-28,PETITE_PRODUCTION,111,0,
CLT-000112,INS-003,AGE-025,2021-12-05,2023-09-05,PETITE_PRODUCTION,22,1,30000
CLT-000113,INS-003,AGE-021,2021-12-11,,PETITE_PRODUCTION,129,1,223000
CLT-000114,INS-003,AGE-022,2022-02-20,,SERVICES,22,1,38500
CLT-000115,INS-003,AGE-020,2022-02-26,,ARTISANAT,35,0,
CLT-000116,INS-003,AGE-021,2022-03-30,,PETITE_PRODUCTION,28,1,43000
CLT-000117,INS-003,AGE-023,2022-05-31,2024-09-30,SERVICES,91,1,103000
CLT-000118,INS-003,AGE-021,2022-06-18,,ARTISANAT,44,1,28000
CLT-000119,INS-003,AGE-022,2022-07-14,,ARTISANAT,145,1,320500
CLT-000120,INS-003,AGE-023,2022-09-07,,TRANSPORT,8,0,
CLT-000121,INS-003,AGE-022,2022-11-10,,SERVICES,57,0,
CLT-000122,INS-003,AGE-020,2023-02-15,,COMMERCE,64,0,
CLT-000123,INS-003,AGE-025,2023-02-15,,RESTAURATION,141,1,43000
CLT-000124,INS-003,AGE-021,2023-04-05,,ARTISANAT,60,1,34000
CLT-000125,INS-003,AGE-025,2025-05-06,,COMMERCE,34,1,18500
CLT-000126,INS-003,AGE-020,2023-05-23,,RESTAURATION,97,1,108500
CLT-000127,INS-003,AGE-025,2025-09-01,,PETITE_PRODUCTION,45,0,
CLT-000128,INS-003,AGE-024,2025-08-05,,RESTAURATION,9,0,
CLT-000129,INS-003,AGE-023,2023-11-10,,PETITE_PRODUCTION,33,1,25500
CLT-000130,INS-003,AGE-023,2023-11-28,,RESTAURATION,67,1,54000
CLT-000131,INS-003,AGE-020,2024-01-15,,ARTISANAT,146,0,
CLT-000132,INS-003,AGE-020,2024-01-18,2025-07-18,SERVICES,25,1,45000
CLT-000133,INS-003,AGE-020,2024-02-22,,SERVICES,49,1,162000
CLT-000134,INS-003,AGE-025,2024-04-14,,PETITE_PRODUCTION,34,0,
CLT-000135,INS-003,AGE-023,2025-08-18,,RESTAURATION,32,1,24000
CLT-000136,INS-003,AGE-024,2024-05-16,,ARTISANAT,38,1,72500
CLT-000137,INS-003,AGE-024,2024-06-07,,SERVICES,51,1,46000
CLT-000138,INS-003,AGE-021,2024-08-22,,ELEVAGE,22,1,88500
CLT-000139,INS-003,AGE-021,2024-09-16,,PETITE_PRODUCTION,254,1,34500
CLT-000140,INS-003,AGE-020,2024-09-27,,ARTISANAT,138,1,93000
CLT-000141,INS-003,AGE-022,2025-01-02,,SERVICES,73,0,
CLT-000142,INS-003,AGE-024,2025-02-20,,ARTISANAT,105,1,28500
CLT-000143,INS-003,AGE-023,2025-02-26,,AGRICULTURE,90,0,
CLT-000144,INS-003,AGE-021,2025-09-27,,SERVICES,58,1,78500
CLT-000145,INS-003,AGE-023,2025-07-06,,PETITE_PRODUCTION,27,0,
CLT-000146,INS-003,AGE-024,2025-07-08,,AGRICULTURE,25,0,
CLT-000147,INS-003,AGE-023,2025-07-30,,ARTISANAT,6,1,56000
CLT-000148,INS-003,AGE-025,2025-08-01,,COMMERCE,126,0,
CLT-000149,INS-003,AGE-023,2025-10-28,,PETITE_PRODUCTION,54,1,65500
CLT-000150,INS-003,AGE-025,2025-12-14,,TRANSPORT,45,1,103000
