identifiant_credit,identifiant_demande,identifiant_institution,date_decaissement,montant_decaisse,duree_mois,type_amortissement,differe_mois,echeance_theorique,date_premiere_echeance,date_derniere_echeance_prevue
CRD-000046,DEM-000058,INS-003,2023-11-17,250000,9,mensuel_constant,0,27777,2023-12-17,2024-08-17
CRD-000047,DEM-000059,INS-003,2025-11-04,475000,12,mensuel_constant,0,39583,2025-12-04,2026-11-04
CRD-000048,DEM-000060,INS-003,2021-06-06,460000,12,mensuel_constant,0,38333,2021-07-06,2022-06-06
CRD-000049,DEM-000061,INS-003,2023-10-08,75000,6,mensuel_constant,0,12500,2023-11-08,2024-04-08
CRD-000050,DEM-000065,INS-003,2024-07-06,395000,9,mensuel_constant,0,43888,2024-08-06,2025-04-06
CRD-000051,DEM-000068,INS-003,2025-02-18,510000,12,mensuel_constant,0,42500,2025-03-18,2026-02-18
CRD-000052,DEM-000069,INS-003,2025-12-04,250000,9,mensuel_constant,0,27777,2026-01-04,2026-09-04
CRD-000053,DEM-000070,INS-003,2024-04-22,1500000,18,mensuel_constant,0,83333,2024-05-22,2025-10-22
CRD-000054,DEM-000071,INS-003,2025-03-31,750000,24,mensuel_constant,0,31250,2025-04-30,2027-03-31
CRD-000055,DEM-000072,INS-003,2024-02-29,340000,12,mensuel_constant,0,28333,2024-03-29,2025-02-28
CRD-000056,DEM-000074,INS-003,2024-12-07,475000,9,mensuel_constant,0,52777,2025-01-07,2025-09-07
CRD-000057,DEM-000075,INS-003,2024-06-21,250000,6,mensuel_constant,0,41666,2024-07-21,2024-12-21
CRD-000058,DEM-000076,INS-003,2024-06-24,95000,6,mensuel_constant,0,15833,2024-07-24,2024-12-24
CRD-000059,DEM-000079,INS-003,2023-11-13,600000,12,mensuel_constant,0,50000,2023-12-13,2024-11-13
CRD-000060,DEM-000080,INS-003,2024-12-23,265000,12,mensuel_constant,0,22083,2025-01-23,2025-12-23
CRD-000061,DEM-000081,INS-003,2025-10-07,115000,9,mensuel_constant,0,12777,2025-11-07,2026-07-07
CRD-000062,DEM-000086,INS-003,2025-02-06,1095000,24,mensuel_constant,0,45625,2025-03-06,2027-02-06
CRD-000063,DEM-000088,INS-003,2025-03-07,65000,6,mensuel_constant,0,10833,2025-04-07,2025-09-07
CRD-000064,DEM-000089,INS-003,2025-10-21,220000,12,mensuel_constant,0,18333,2025-11-21,2026-10-21
