identifiant_activite,identifiant_client,identifiant_institution,code_secteur,libelle_activite,est_activite_principale,date_debut_activite,date_fin_activite
ACT-000185,CLT-000151,INS-004,COMMERCE,Vente de tissus,1,1992-04-14,
ACT-000186,CLT-000152,INS-004,ELEVAGE,Production laitière,1,2008-12-22,
ACT-000187,CLT-000152,INS-004,AGRICULTURE,Culture d'arachide,0,2008-12-22,
ACT-000188,CLT-000153,INS-004,COMMERCE,Vente de céréales,1,1999-11-26,
ACT-000189,CLT-000153,INS-004,TRANSPORT,Location de tricycle,0,1999-11-26,
ACT-000190,CLT-000154,INS-004,PETITE_PRODUCTION,Transformation de céréales,1,2016-05-01,
ACT-000191,CLT-000155,INS-004,AGRICULTURE,Riziculture,1,2015-09-22,
ACT-000192,CLT-000156,INS-004,SERVICES,Secrétariat public,1,1996-09-16,
ACT-000193,CLT-000157,INS-004,SERVICES,Cabine de communication,1,2012-03-09,
ACT-000194,CLT-000157,INS-004,ELEVAGE,Élevage de volaille,0,2012-03-09,
ACT-000195,CLT-000158,INS-004,ELEVAGE,Élevage de volaille,1,2006-08-06,
ACT-000196,CLT-000159,INS-004,ARTISANAT,Menuiserie,1,1990-04-28,
ACT-000197,CLT-000160,INS-004,COMMERCE,Vente de céréales,1,2013-07-26,
ACT-000198,CLT-000160,INS-004,ARTISANAT,Couture,0,2013-07-26,
ACT-000199,CLT-000161,INS-004,TRANSPORT,Livraison de marchandises,1,2020-01-17,
ACT-000200,CLT-000162,INS-004,COMMERCE,Vente de tissus,1,2016-12-19,
ACT-000201,CLT-000163,INS-004,COMMERCE,Vente de tissus,1,2018-12-23,
ACT-000202,CLT-000163,INS-004,SERVICES,Secrétariat public,0,2018-12-23,
ACT-000203,CLT-000164,INS-004,ELEVAGE,Élevage de petits ruminants,1,2018-03-25,
ACT-000204,CLT-000165,INS-004,COMMERCE,Boutique de quartier,1,2014-12-16,
ACT-000205,CLT-000166,INS-004,AGRICULTURE,Riziculture,1,2012-10-18,
ACT-000206,CLT-000167,INS-004,COMMERCE,Boutique de quartier,1,1991-11-07,
ACT-000207,CLT-000168,INS-004,COMMERCE,Vente de tissus,1,2021-09-24,
ACT-000208,CLT-000169,INS-004,COMMERCE,Vente de tissus,1,2016-12-16,
