identifiant_echeance,identifiant_credit,identifiant_institution,numero_echeance,date_exigible,montant_capital_du,montant_interet_du,montant_total_du
ECH-0000625,CRD-000065,INS-004,1,2023-09-04,56111,0,56111
ECH-0000626,CRD-000065,INS-004,2,2023-10-04,56111,0,56111
ECH-0000627,CRD-000065,INS-004,3,2023-11-04,56111,0,56111
ECH-0000628,CRD-000065,INS-004,4,2023-12-04,56111,0,56111
ECH-0000629,CRD-000065,INS-004,5,2024-01-04,56111,0,56111
ECH-0000630,CRD-000065,INS-004,6,2024-02-04,56111,0,56111
ECH-0000631,CRD-000065,INS-004,7,2024-03-04,56111,0,56111
ECH-0000632,CRD-000065,INS-004,8,2024-04-04,56111,0,56111
ECH-0000633,CRD-000065,INS-004,9,2024-05-04,56112,0,56112
ECH-0000634,CRD-000066,INS-004,1,2026-05-26,40000,0,40000
ECH-0000635,CRD-000066,INS-004,2,2026-06-26,40000,0,40000
ECH-0000636,CRD-000066,INS-004,3,2026-07-26,40000,0,40000
ECH-0000637,CRD-000066,INS-004,4,2026-08-26,40000,0,40000
ECH-0000638,CRD-000066,INS-004,5,2026-09-26,40000,0,40000
ECH-0000639,CRD-000066,INS-004,6,2026-10-26,40000,0,40000
ECH-0000640,CRD-000066,INS-004,7,2026-11-26,40000,0,40000
ECH-0000641,CRD-000066,INS-004,8,2026-12-26,40000,0,40000
ECH-0000642,CRD-000066,INS-004,9,2027-01-26,40000,0,40000
ECH-0000643,CRD-000066,INS-004,10,2027-02-26,40000,0,40000
ECH-0000644,CRD-000066,INS-004,11,2027-03-26,40000,0,40000
ECH-0000645,CRD-000066,INS-004,12,2027-04-26,40000,0,40000
ECH-0000646,CRD-000067,INS-004,1,2021-08-16,27777,0,27777
ECH-0000647,CRD-000067,INS-004,2,2021-09-16,27777,0,27777
ECH-0000648,CRD-000067,INS-004,3,2021-10-16,27777,0,27777
ECH-0000649,CRD-000067,INS-004,4,2021-11-16,27777,0,27777
ECH-0000650,CRD-000067,INS-004,5,2021-12-16,27777,0,27777
ECH-0000651,CRD-000067,INS-004,6,2022-01-16,27777,0,27777
ECH-0000652,CRD-000067,INS-004,7,2022-02-16,27777,0,27777
ECH-0000653,CRD-000067,INS-004,8,2022-03-16,27777,0,27777
ECH-0000654,CRD-000067,INS-004,9,2022-04-16,27784,0,27784
ECH-0000655,CRD-000068,INS-004,1,2022-05-16,17777,0,17777
ECH-0000656,CRD-000068,INS-004,2,2022-06-16,17777,0,17777
ECH-0000657,CRD-000068,INS-004,3,2022-07-16,17777,0,17777
ECH-0000658,CRD-000068,INS-004,4,2022-08-16,17777,0,17777
ECH-0000659,CRD-000068,INS-004,5,2022-09-16,17777,0,17777
ECH-0000660,CRD-000068,INS-004,6,2022-10-16,17777,0,17777
ECH-0000661,CRD-000068,INS-004,7,2022-11-16,17777,0,17777
ECH-0000662,CRD-000068,INS-004,8,2022-12-16,17777,0,17777
ECH-0000663,CRD-000068,INS-004,9,2023-01-16,17784,0,17784
ECH-0000664,CRD-000069,INS-004,1,2024-01-16,27777,0,27777
ECH-0000665,CRD-000069,INS-004,2,2024-02-16,27777,0,27777
ECH-0000666,CRD-000069,INS-004,3,2024-03-16,27777,0,27777
ECH-0000667,CRD-000069,INS-004,4,2024-04-16,27777,0,27777
ECH-0000668,CRD-000069,INS-004,5,2024-05-16,27777,0,27777
ECH-0000669,CRD-000069,INS-004,6,2024-06-16,27777,0,27777
ECH-0000670,CRD-000069,INS-004,7,2024-07-16,27777,0,27777
ECH-0000671,CRD-000069,INS-004,8,2024-08-16,27777,0,27777
ECH-0000672,CRD-000069,INS-004,9,2024-09-16,27784,0,27784
ECH-0000673,CRD-000070,INS-004,1,2022-09-29,21111,0,21111
ECH-0000674,CRD-000070,INS-004,2,2022-10-29,21111,0,21111
ECH-0000675,CRD-000070,INS-004,3,2022-11-29,21111,0,21111
ECH-0000676,CRD-000070,INS-004,4,2022-12-29,21111,0,21111
ECH-0000677,CRD-000070,INS-004,5,2023-01-29,21111,0,21111
ECH-0000678,CRD-000070,INS-004,6,2023-02-28,21111,0,21111
ECH-0000679,CRD-000070,INS-004,7,2023-03-29,21111,0,21111
ECH-0000680,CRD-000070,INS-004,8,2023-04-29,21111,0,21111
ECH-0000681,CRD-000070,INS-004,9,2023-05-29,21112,0,21112
ECH-0000682,CRD-000071,INS-004,1,2021-06-15,41666,0,41666
ECH-0000683,CRD-000071,INS-004,2,2021-07-15,41666,0,41666
ECH-0000684,CRD-000071,INS-004,3,2021-08-15,41666,0,41666
ECH-0000685,CRD-000071,INS-004,4,2021-09-15,41666,0,41666
ECH-0000686,CRD-000071,INS-004,5,2021-10-15,41666,0,41666
ECH-0000687,CRD-000071,INS-004,6,2021-11-15,41670,0,41670
ECH-0000688,CRD-000072,INS-004,1,2024-12-12,22777,0,22777
ECH-0000689,CRD-000072,INS-004,2,2025-01-12,22777,0,22777
ECH-0000690,CRD-000072,INS-004,3,2025-02-12,22777,0,22777
ECH-0000691,CRD-000072,INS-004,4,2025-03-12,22777,0,22777
ECH-0000692,CRD-000072,INS-004,5,2025-04-12,22777,0,22777
ECH-0000693,CRD-000072,INS-004,6,2025-05-12,22777,0,22777
ECH-0000694,CRD-000072,INS-004,7,2025-06-12,22777,0,22777
ECH-0000695,CRD-000072,INS-004,8,2025-07-12,22777,0,22777
ECH-0000696,CRD-000072,INS-004,9,2025-08-12,22784,0,22784
ECH-0000697,CRD-000073,INS-004,1,2022-07-22,3888,0,3888
ECH-0000698,CRD-000073,INS-004,2,2022-08-22,3888,0,3888
ECH-0000699,CRD-000073,INS-004,3,2022-09-22,3888,0,3888
ECH-0000700,CRD-000073,INS-004,4,2022-10-22,3888,0,3888
ECH-0000701,CRD-000073,INS-004,5,2022-11-22,3888,0,3888
ECH-0000702,CRD-000073,INS-004,6,2022-12-22,3888,0,3888
ECH-0000703,CRD-000073,INS-004,7,2023-01-22,3888,0,3888
ECH-0000704,CRD-000073,INS-004,8,2023-02-22,3888,0,3888
ECH-0000705,CRD-000073,INS-004,9,2023-03-22,3896,0,3896
ECH-0000706,CRD-000074,INS-004,1,2022-06-13,22916,0,22916
ECH-0000707,CRD-000074,INS-004,2,2022-07-13,22916,0,22916
ECH-0000708,CRD-000074,INS-004,3,2022-08-13,22916,0,22916
ECH-0000709,CRD-000074,INS-004,4,2022-09-13,22916,0,22916
ECH-0000710,CRD-000074,INS-004,5,2022-10-13,22916,0,22916
ECH-0000711,CRD-000074,INS-004,6,2022-11-13,22916,0,22916
ECH-0000712,CRD-000074,INS-004,7,2022-12-13,22916,0,22916
ECH-0000713,CRD-000074,INS-004,8,2023-01-13,22916,0,22916
ECH-0000714,CRD-000074,INS-004,9,2023-02-13,22916,0,22916
ECH-0000715,CRD-000074,INS-004,10,2023-03-13,22916,0,22916
ECH-0000716,CRD-000074,INS-004,11,2023-04-13,22916,0,22916
ECH-0000717,CRD-000074,INS-004,12,2023-05-13,22924,0,22924
ECH-0000718,CRD-000075,INS-004,1,2024-01-17,40000,0,40000
ECH-0000719,CRD-000075,INS-004,2,2024-02-17,40000,0,40000
ECH-0000720,CRD-000075,INS-004,3,2024-03-17,40000,0,40000
ECH-0000721,CRD-000075,INS-004,4,2024-04-17,40000,0,40000
ECH-0000722,CRD-000075,INS-004,5,2024-05-17,40000,0,40000
ECH-0000723,CRD-000075,INS-004,6,2024-06-17,40000,0,40000
ECH-0000724,CRD-000075,INS-004,7,2024-07-17,40000,0,40000
ECH-0000725,CRD-000075,INS-004,8,2024-08-17,40000,0,40000
ECH-0000726,CRD-000075,INS-004,9,2024-09-17,40000,0,40000
ECH-0000727,CRD-000075,INS-004,10,2024-10-17,40000,0,40000
ECH-0000728,CRD-000075,INS-004,11,2024-11-17,40000,0,40000
