identifiant_client,identifiant_institution,identifiant_agence,date_entree_relation,date_sortie_relation,code_secteur_principal,anciennete_activite_mois_a_entree,possede_compte_epargne,montant_epargne_a_entree
CLT-000151,INS-004,AGE-026,2014-07-14,2025-09-14,COMMERCE,267,1,111000
CLT-000152,INS-004,AGE-034,2015-11-22,,ELEVAGE,83,0,
CLT-000153,INS-004,AGE-033,2016-09-26,,COMMERCE,202,1,406000
CLT-000154,INS-004,AGE-032,2025-10-01,,PETITE_PRODUCTION,113,0,
CLT-000155,INS-004,AGE-029,2019-01-22,,AGRICULTURE,40,1,33500
CLT-000156,INS-004,AGE-031,2019-02-16,2024-02-16,SERVICES,269,1,81500
CLT-000157,INS-004,AGE-029,2019-09-09,,SERVICES,90,1,23000
CLT-000158,INS-004,AGE-028,2019-10-06,2020-11-06,ELEVAGE,158,1,94000
CLT-000159,INS-004,AGE-027,2020-04-28,2021-12-28,ARTISANAT,360,0,
CLT-000160,INS-004,AGE-034,2020-09-26,2022-09-26,COMMERCE,86,1,43000
CLT-000161,INS-004,AGE-031,2021-02-17,,TRANSPORT,13,1,80000
CLT-000162,INS-004,AGE-033,2021-04-19,2024-12-19,COMMERCE,52,0,
CLT-000163,INS-004,AGE-028,2021-05-23,,COMMERCE,29,0,
CLT-000164,INS-004,AGE-027,2021-06-25,2024-02-25,ELEVAGE,39,0,
CLT-000165,INS-004,AGE-029,2021-07-16,,COMMERCE,79,0,
CLT-000166,INS-004,AGE-031,2021-10-18,,AGRICULTURE,108,1,188500
CLT-000167,INS-004,AGE-033,2021-11-07,2025-10-07,COMMERCE,360,1,115500
CLT-000168,INS-004,AGE-031,2025-05-24,,COMMERCE,44,0,
CLT-000169,INS-004,AGE-027,2022-01-16,,COMMERCE,61,0,
CLT-000170,INS-004,AGE-032,2022-03-26,,COMMERCE,32,0,
CLT-000171,INS-004,AGE-033,2022-05-08,,COMMERCE,9,1,29000
CLT-000172,INS-004,AGE-032,2022-08-18,,AGRICULTURE,76,1,106500
CLT-000173,INS-004,AGE-032,2025-05-10,,TRANSPORT,12,0,
CLT-000174,INS-004,AGE-026,2022-12-02,,PETITE_PRODUCTION,118,1,12500
CLT-000175,INS-004,AGE-034,2023-03-08,,COMMERCE,95,1,189000
CLT-000176,INS-004,AGE-032,2023-04-15,,COMMERCE,85,1,37000
CLT-000177,INS-004,AGE-031,2023-05-08,,AGRICULTURE,104,0,
CLT-000178,INS-004,AGE-033,2025-07-27,,PETITE_PRODUCTION,51,1,82500
CLT-000179,INS-004,AGE-029,2025-03-28,,ELEVAGE,193,0,
CLT-000180,INS-004,AGE-028,2023-07-25,,ARTISANAT,121,0,
CLT-000181,INS-004,AGE-026,2023-10-22,,SERVICES,42,1,50000
CLT-000182,INS-004,AGE-029,2023-11-22,,TRANSPORT,37,0,
CLT-000183,INS-004,AGE-032,2024-04-07,,AGRICULTURE,164,0,
CLT-000184,INS-004,AGE-026,2024-05-31,,SERVICES,64,1,76000
CLT-000185,INS-004,AGE-033,2024-07-20,,COMMERCE,18,1,72500
CLT-000186,INS-004,AGE-031,2024-09-22,,COMMERCE,32,1,10000
CLT-000187,INS-004,AGE-027,2025-05-06,,RESTAURATION,46,0,
CLT-000188,INS-004,AGE-030,2024-10-01,,AGRICULTURE,129,0,
CLT-000189,INS-004,AGE-026,2024-10-08,,COMMERCE,36,0,
CLT-000190,INS-004,AGE-030,2024-10-10,,COMMERCE,39,0,
CLT-000191,INS-004,AGE-032,2024-10-16,2025-10-16,ARTISANAT,105,1,19000
CLT-000192,INS-004,AGE-029,2025-01-11,,TRANSPORT,21,1,87000
CLT-000193,INS-004,AGE-027,2025-02-05,,COMMERCE,37,1,239500
CLT-000194,INS-004,AGE-028,2025-04-21,,RESTAURATION,39,1,19500
CLT-000195,INS-004,AGE-032,2025-07-26,,COMMERCE,217,0,
CLT-000196,INS-004,AGE-028,2025-05-07,,COMMERCE,50,1,10500
CLT-000197,INS-004,AGE-029,2025-08-24,,AGRICULTURE,103,0,
CLT-000198,INS-004,AGE-032,2025-10-02,,RESTAURATION,151,1,21500
CLT-000199,INS-004,AGE-027,2025-11-06,,COMMERCE,22,1,23500
CLT-000200,INS-004,AGE-029,2025-11-18,,SERVICES,69,1,21000
