identifiant_client,identifiant_institution,identifiant_agence,date_entree_relation,date_sortie_relation,code_secteur_principal,anciennete_activite_mois_a_entree,possede_compte_epargne,montant_epargne_a_entree
CLT-000051,INS-002,AGE-015,2014-04-10,2025-04-10,TRANSPORT,33,1,22000
CLT-000052,INS-002,AGE-017,2015-04-26,2021-10-26,AGRICULTURE,70,1,86000
CLT-000053,INS-002,AGE-010,2016-03-06,2024-05-06,AGRICULTURE,81,1,96000
CLT-000054,INS-002,AGE-012,2016-07-08,,ELEVAGE,37,0,
CLT-000055,INS-002,AGE-014,2025-08-02,,PETITE_PRODUCTION,125,0,
CLT-000056,INS-002,AGE-015,2017-07-29,,AGRICULTURE,20,0,
CLT-000057,INS-002,AGE-009,2025-03-24,,AGRICULTURE,43,0,
CLT-000058,INS-002,AGE-015,2020-08-15,2023-08-15,TRANSPORT,28,1,100000
CLT-000059,INS-002,AGE-017,2020-10-17,,AGRICULTURE,89,1,56500
CLT-000060,INS-002,AGE-010,2021-04-10,,AGRICULTURE,44,1,997500
CLT-000061,INS-002,AGE-009,2025-09-11,,ELEVAGE,25,1,17500
CLT-000062,INS-002,AGE-015,2021-08-14,,PETITE_PRODUCTION,41,0,
CLT-000063,INS-002,AGE-010,2021-10-30,,AGRICULTURE,38,1,31000
CLT-000064,INS-002,AGE-010,2021-11-08,2022-11-08,AGRICULTURE,21,0,
CLT-000065,INS-002,AGE-016,2025-09-04,,COMMERCE,29,1,7500
CLT-000066,INS-002,AGE-009,2021-12-13,2025-07-13,AGRICULTURE,77,0,
CLT-000067,INS-002,AGE-018,2022-01-30,,ARTISANAT,40,1,52500
CLT-000068,INS-002,AGE-015,2022-02-07,,AGRICULTURE,10,0,
CLT-000069,INS-002,AGE-014,2022-03-03,,ARTISANAT,43,1,12000
CLT-000070,INS-002,AGE-015,2022-03-20,,ELEVAGE,128,0,
CLT-000071,INS-002,AGE-019,2022-03-30,,COMMERCE,178,1,30500
CLT-000072,INS-002,AGE-011,2022-05-03,,ARTISANAT,44,1,42500
CLT-000073,INS-002,AGE-019,2022-07-29,,ELEVAGE,125,0,
CLT-000074,INS-002,AGE-011,2022-12-28,,COMMERCE,70,0,
CLT-000075,INS-002,AGE-017,2023-02-17,,ARTISANAT,29,1,76500
CLT-000076,INS-002,AGE-013,2023-04-14,2025-06-14,TRANSPORT,69,1,221000
CLT-000077,INS-002,AGE-019,2023-05-05,,AGRICULTURE,32,0,
CLT-000078,INS-002,AGE-010,2023-07-14,,ELEVAGE,39,1,99500
CLT-000079,INS-002,AGE-012,2023-07-23,,ELEVAGE,35,0,
CLT-000080,INS-002,AGE-010,2023-08-21,2025-12-21,PETITE_PRODUCTION,73,0,
CLT-000081,INS-002,AGE-017,2023-09-14,,RESTAURATION,34,1,70000
CLT-000082,INS-002,AGE-018,2023-12-30,,SERVICES,63,0,
CLT-000083,INS-002,AGE-019,2024-01-30,,TRANSPORT,164,0,
CLT-000084,INS-002,AGE-017,2024-03-03,,COMMERCE,38,1,240000
CLT-000085,INS-002,AGE-009,2024-03-07,,TRANSPORT,32,0,
CLT-000086,INS-002,AGE-013,2024-04-07,,AGRICULTURE,28,1,3500
CLT-000087,INS-002,AGE-018,2024-05-08,,AGRICULTURE,44,1,15000
CLT-000088,INS-002,AGE-012,2024-08-03,,AGRICULTURE,71,0,
CLT-000089,INS-002,AGE-013,2024-08-04,,AGRICULTURE,18,0,
CLT-000090,INS-002,AGE-018,2024-08-09,,ELEVAGE,71,1,14000
CLT-000091,INS-002,AGE-014,2024-12-15,,SERVICES,54,1,34500
CLT-000092,INS-002,AGE-014,2025-03-22,,ELEVAGE,16,0,
CLT-000093,INS-002,AGE-016,2025-04-16,,AGRICULTURE,132,1,37500
CLT-000094,INS-002,AGE-013,2025-08-23,,ARTISANAT,27,1,30500
CLT-000095,INS-002,AGE-016,2025-08-29,,AGRICULTURE,76,1,39000
CLT-000096,INS-002,AGE-014,2025-10-18,,ELEVAGE,12,1,35000
CLT-000097,INS-002,AGE-017,2025-10-22,,RESTAURATION,16,1,234500
CLT-000098,INS-002,AGE-014,2025-11-10,,AGRICULTURE,59,1,24500
CLT-000099,INS-002,AGE-015,2025-11-10,,AGRICULTURE,63,0,
CLT-000100,INS-002,AGE-013,2025-12-09,,COMMERCE,109,1,16000
