identifiant_echeance,identifiant_credit,identifiant_institution,numero_echeance,date_exigible,montant_capital_du,montant_interet_du,montant_total_du
ECH-0000349,CRD-000039,INS-002,1,2021-05-08,17777,0,17777
ECH-0000350,CRD-000039,INS-002,2,2021-06-08,17777,0,17777
ECH-0000351,CRD-000039,INS-002,3,2021-07-08,17777,0,17777
ECH-0000352,CRD-000039,INS-002,4,2021-08-08,17777,0,17777
ECH-0000353,CRD-000039,INS-002,5,2021-09-08,17777,0,17777
ECH-0000354,CRD-000039,INS-002,6,2021-10-08,17777,0,17777
ECH-0000355,CRD-000039,INS-002,7,2021-11-08,17777,0,17777
ECH-0000356,CRD-000039,INS-002,8,2021-12-08,17777,0,17777
ECH-0000357,CRD-000039,INS-002,9,2022-01-08,17784,0,17784
ECH-0000358,CRD-000040,INS-002,1,2022-03-28,83333,0,83333
ECH-0000359,CRD-000040,INS-002,2,2022-04-28,83333,0,83333
ECH-0000360,CRD-000040,INS-002,3,2022-05-28,83334,0,83334
ECH-0000361,CRD-000041,INS-002,1,2021-06-21,110833,0,110833
ECH-0000362,CRD-000041,INS-002,2,2021-07-21,110833,0,110833
ECH-0000363,CRD-000041,INS-002,3,2021-08-21,110833,0,110833
ECH-0000364,CRD-000041,INS-002,4,2021-09-21,110833,0,110833
ECH-0000365,CRD-000041,INS-002,5,2021-10-21,110833,0,110833
ECH-0000366,CRD-000041,INS-002,6,2021-11-21,110835,0,110835
ECH-0000367,CRD-000042,INS-002,1,2021-10-01,20833,0,20833
ECH-0000368,CRD-000042,INS-002,2,2021-11-01,20833,0,20833
ECH-0000369,CRD-000042,INS-002,3,2021-12-01,20833,0,20833
ECH-0000370,CRD-000042,INS-002,4,2022-01-01,20833,0,20833
ECH-0000371,CRD-000042,INS-002,5,2022-02-01,20833,0,20833
ECH-0000372,CRD-000042,INS-002,6,2022-03-01,20835,0,20835
ECH-0000373,CRD-000043,INS-002,1,2023-03-13,22222,0,22222
ECH-0000374,CRD-000043,INS-002,2,2023-04-13,22222,0,22222
ECH-0000375,CRD-000043,INS-002,3,2023-05-13,22222,0,22222
ECH-0000376,CRD-000043,INS-002,4,2023-06-13,22222,0,22222
ECH-0000377,CRD-000043,INS-002,5,2023-07-13,22222,0,22222
ECH-0000378,CRD-000043,INS-002,6,2023-08-13,22222,0,22222
ECH-0000379,CRD-000043,INS-002,7,2023-09-13,22222,0,22222
ECH-0000380,CRD-000043,INS-002,8,2023-10-13,22222,0,22222
ECH-0000381,CRD-000043,INS-002,9,2023-11-13,22224,0,22224
ECH-0000382,CRD-000044,INS-002,1,2022-03-29,35000,0,35000
ECH-0000383,CRD-000044,INS-002,2,2022-04-29,35000,0,35000
ECH-0000384,CRD-000044,INS-002,3,2022-05-29,35000,0,35000
ECH-0000385,CRD-000044,INS-002,4,2022-06-29,35000,0,35000
ECH-0000386,CRD-000044,INS-002,5,2022-07-29,35000,0,35000
ECH-0000387,CRD-000044,INS-002,6,2022-08-29,35000,0,35000
ECH-0000388,CRD-000044,INS-002,7,2022-09-29,35000,0,35000
ECH-0000389,CRD-000044,INS-002,8,2022-10-29,35000,0,35000
ECH-0000390,CRD-000044,INS-002,9,2022-11-29,35000,0,35000
ECH-0000391,CRD-000044,INS-002,10,2022-12-29,35000,0,35000
ECH-0000392,CRD-000044,INS-002,11,2023-01-29,35000,0,35000
ECH-0000393,CRD-000044,INS-002,12,2023-02-28,35000,0,35000
ECH-0000394,CRD-000045,INS-002,1,2022-12-26,55000,0,55000
ECH-0000395,CRD-000045,INS-002,2,2023-01-26,55000,0,55000
ECH-0000396,CRD-000045,INS-002,3,2023-02-26,55000,0,55000
ECH-0000397,CRD-000045,INS-002,4,2023-03-26,55000,0,55000
ECH-0000398,CRD-000045,INS-002,5,2023-04-26,55000,0,55000
ECH-0000399,CRD-000045,INS-002,6,2023-05-26,55000,0,55000
ECH-0000400,CRD-000045,INS-002,7,2023-06-26,55000,0,55000
ECH-0000401,CRD-000045,INS-002,8,2023-07-26,55000,0,55000
ECH-0000402,CRD-000045,INS-002,9,2023-08-26,55000,0,55000
ECH-0000403,CRD-000045,INS-002,10,2023-09-26,55000,0,55000
ECH-0000404,CRD-000045,INS-002,11,2023-10-26,55000,0,55000
ECH-0000405,CRD-000045,INS-002,12,2023-11-26,55000,0,55000
