identifiant_paiement,identifiant_credit,identifiant_echeance,identifiant_institution,date_paiement,montant_paye,canal_paiement
PAI-0000317,CRD-000039,ECH-0000349,INS-002,2021-05-07,17777,agence
PAI-0000318,CRD-000039,ECH-0000350,INS-002,2021-06-07,17777,agence
PAI-0000319,CRD-000039,ECH-0000351,INS-002,2021-07-11,17777,agence
PAI-0000320,CRD-000039,ECH-0000352,INS-002,2021-08-10,17777,agence
PAI-0000321,CRD-000039,ECH-0000353,INS-002,2021-09-09,17777,mobile_money
PAI-0000322,CRD-000039,ECH-0000354,INS-002,2021-10-09,17777,agence
PAI-0000323,CRD-000039,ECH-0000355,INS-002,2021-11-10,17777,agence
PAI-0000324,CRD-000039,ECH-0000356,INS-002,2021-12-11,17777,agence
PAI-0000325,CRD-000039,ECH-0000357,INS-002,2022-01-07,17784,collecteur
PAI-0000326,CRD-000040,ECH-0000358,INS-002,2022-03-25,83333,mobile_money
PAI-0000327,CRD-000040,ECH-0000359,INS-002,2022-04-26,83333,agence
PAI-0000328,CRD-000040,ECH-0000360,INS-002,2022-06-15,83334,mobile_money
PAI-0000329,CRD-000041,ECH-0000361,INS-002,2021-06-24,110833,collecteur
PAI-0000330,CRD-000041,ECH-0000362,INS-002,2021-07-24,110833,agence
PAI-0000331,CRD-000041,ECH-0000363,INS-002,2021-08-22,110833,mobile_money
PAI-0000332,CRD-000041,ECH-0000364,INS-002,2021-09-22,110833,mobile_money
PAI-0000333,CRD-000041,ECH-0000365,INS-002,2021-10-21,110833,agence
PAI-0000334,CRD-000041,ECH-0000366,INS-002,2021-11-22,39299,agence
PAI-0000335,CRD-000041,,INS-002,2021-12-29,71536,collecteur
PAI-0000336,CRD-000042,ECH-0000367,INS-002,2021-10-01,20833,agence
PAI-0000337,CRD-000042,ECH-0000368,INS-002,2021-11-05,20833,agence
PAI-0000338,CRD-000042,ECH-0000369,INS-002,2021-12-04,20833,agence
PAI-0000339,CRD-000042,ECH-0000370,INS-002,2021-12-31,20833,collecteur
PAI-0000340,CRD-000042,ECH-0000371,INS-002,2022-01-31,20833,agence
PAI-0000341,CRD-000042,ECH-0000372,INS-002,2022-03-02,20835,agence
PAI-0000342,CRD-000043,ECH-0000373,INS-002,2023-03-12,22222,collecteur
PAI-0000343,CRD-000043,ECH-0000374,INS-002,2023-04-13,22222,mobile_money
PAI-0000344,CRD-000043,ECH-0000375,INS-002,2023-05-17,22222,collecteur
PAI-0000345,CRD-000043,ECH-0000376,INS-002,2023-06-15,22222,agence
PAI-0000346,CRD-000043,ECH-0000377,INS-002,2023-07-17,22222,agence
PAI-0000347,CRD-000043,ECH-0000378,INS-002,2023-08-14,22222,agence
PAI-0000348,CRD-000043,ECH-0000379,INS-002,2023-09-12,22222,agence
PAI-0000349,CRD-000043,ECH-0000380,INS-002,2023-10-14,22222,collecteur
PAI-0000350,CRD-000043,ECH-0000381,INS-002,2023-11-14,22224,agence
PAI-0000351,CRD-000044,ECH-0000382,INS-002,2022-03-31,35000,agence
PAI-0000352,CRD-000044,ECH-0000383,INS-002,2022-04-26,35000,agence
PAI-0000353,CRD-000044,ECH-0000384,INS-002,2022-05-26,35000,collecteur
PAI-0000354,CRD-000044,ECH-0000385,INS-002,2022-07-02,35000,agence
PAI-0000355,CRD-000044,ECH-0000386,INS-002,2022-07-27,35000,mobile_money
PAI-0000356,CRD-000044,ECH-0000387,INS-002,2022-08-31,35000,agence
PAI-0000357,CRD-000044,ECH-0000388,INS-002,2022-09-28,35000,agence
PAI-0000358,CRD-000044,ECH-0000389,INS-002,2022-11-01,35000,collecteur
PAI-0000359,CRD-000044,ECH-0000390,INS-002,2022-11-28,35000,mobile_money
PAI-0000360,CRD-000044,ECH-0000391,INS-002,2023-01-02,35000,agence
PAI-0000361,CRD-000044,ECH-0000392,INS-002,2023-02-01,35000,agence
PAI-0000362,CRD-000044,ECH-0000393,INS-002,2023-02-28,35000,agence
PAI-0000363,CRD-000045,ECH-0000394,INS-002,2022-12-28,55000,agence
PAI-0000364,CRD-000045,ECH-0000395,INS-002,2023-01-24,55000,agence
PAI-0000365,CRD-000045,ECH-0000396,INS-002,2023-02-26,55000,agence
PAI-0000366,CRD-000045,ECH-0000397,INS-002,2023-04-02,24188,agence
PAI-0000367,CRD-000045,,INS-002,2023-04-11,30812,agence
PAI-0000368,CRD-000045,ECH-0000398,INS-002,2023-04-25,55000,agence
PAI-0000369,CRD-000045,ECH-0000399,INS-002,2023-05-24,55000,collecteur
PAI-0000370,CRD-000045,ECH-0000400,INS-002,2023-06-29,55000,mobile_money
PAI-0000371,CRD-000045,ECH-0000401,INS-002,2023-07-26,55000,collecteur
PAI-0000372,CRD-000045,ECH-0000402,INS-002,2023-08-26,55000,mobile_money
PAI-0000373,CRD-000045,ECH-0000403,INS-002,2023-09-26,55000,mobile_money
PAI-0000374,CRD-000045,ECH-0000404,INS-002,2023-10-28,55000,mobile_money
PAI-0000375,CRD-000045,ECH-0000405,INS-002,2023-11-24,55000,mobile_money
