identifiant_credit,identifiant_demande,identifiant_institution,date_decaissement,montant_decaisse,duree_mois,type_amortissement,differe_mois,echeance_theorique,date_premiere_echeance,date_derniere_echeance_prevue
CRD-000001,DEM-000001,INS-001,2023-01-09,365000,12,mensuel_constant,0,30416,2023-02-09,2024-01-09
CRD-000002,DEM-000002,INS-001,2025-05-24,370000,12,mensuel_constant,0,30833,2025-06-24,2026-05-24
CRD-000003,DEM-000003,INS-001,2023-12-09,600000,9,mensuel_constant,0,66666,2024-01-09,2024-09-09
CRD-000004,DEM-000004,INS-001,2024-09-24,900000,9,mensuel_constant,0,100000,2024-10-24,2025-06-24
CRD-000005,DEM-000005,INS-001,2023-07-30,135000,6,mensuel_constant,0,22500,2023-08-30,2024-01-30
CRD-000006,DEM-000006,INS-001,2024-05-03,245000,12,mensuel_constant,0,20416,2024-06-03,2025-05-03
CRD-000007,DEM-000007,INS-001,2022-11-01,250000,6,mensuel_constant,0,41666,2022-12-01,2023-05-01
CRD-000008,DEM-000008,INS-001,2023-08-30,325000,3,mensuel_constant,0,108333,2023-09-30,2023-11-30
CRD-000009,DEM-000009,INS-001,2024-06-01,490000,12,mensuel_constant,0,40833,2024-07-01,2025-06-01
CRD-000010,DEM-000010,INS-001,2022-08-19,780000,12,mensuel_constant,0,65000,2022-09-19,2023-08-19
CRD-000011,DEM-000011,INS-001,2023-11-25,600000,12,mensuel_constant,0,50000,2023-12-25,2024-11-25
CRD-000012,DEM-000012,INS-001,2024-07-18,900000,9,mensuel_constant,0,100000,2024-08-18,2025-04-18
CRD-000013,DEM-000013,INS-001,2025-11-09,475000,9,mensuel_constant,0,52777,2025-12-09,2026-08-09
CRD-000014,DEM-000014,INS-001,2024-03-29,150000,12,mensuel_constant,0,12500,2024-04-29,2025-03-29
CRD-000015,DEM-000017,INS-001,2024-02-07,405000,12,mensuel_constant,0,33750,2024-03-07,2025-02-07
CRD-000016,DEM-000019,INS-001,2023-10-25,195000,9,mensuel_constant,0,21666,2023-11-25,2024-07-25
CRD-000017,DEM-000020,INS-001,2023-07-03,135000,9,mensuel_constant,0,15000,2023-08-03,2024-04-03
CRD-000018,DEM-000021,INS-001,2025-05-25,50000,6,mensuel_constant,0,8333,2025-06-25,2025-11-25
CRD-000019,DEM-000024,INS-001,2024-11-02,520000,6,mensuel_constant,0,86666,2024-12-02,2025-05-02
CRD-000020,DEM-000026,INS-001,2025-08-20,195000,3,mensuel_constant,0,65000,2025-09-20,2025-11-20
CRD-000021,DEM-000027,INS-001,2024-09-19,900000,12,mensuel_constant,0,75000,2024-10-19,2025-09-19
CRD-000022,DEM-000029,INS-001,2023-06-05,215000,9,mensuel_constant,0,23888,2023-07-05,2024-03-05
CRD-000023,DEM-000030,INS-001,2024-07-26,600000,12,mensuel_constant,0,50000,2024-08-26,2025-07-26
CRD-000024,DEM-000031,INS-001,2025-08-07,600000,9,mensuel_constant,0,66666,2025-09-07,2026-05-07
CRD-000025,DEM-000032,INS-001,2023-04-19,600000,12,mensuel_constant,0,50000,2023-05-19,2024-04-19
CRD-000026,DEM-000034,INS-001,2024-09-23,1215000,12,mensuel_constant,0,101250,2024-10-23,2025-09-23
CRD-000027,DEM-000035,INS-001,2024-05-24,365000,9,mensuel_constant,0,40555,2024-06-24,2025-02-24
CRD-000028,DEM-000036,INS-001,2024-02-25,300000,9,mensuel_constant,0,33333,2024-03-25,2024-11-25
CRD-000029,DEM-000038,INS-001,2024-08-20,600000,12,mensuel_constant,0,50000,2024-09-20,2025-08-20
CRD-000030,DEM-000040,INS-001,2024-01-30,440000,12,mensuel_constant,0,36666,2024-02-29,2025-01-30
CRD-000031,DEM-000041,INS-001,2024-02-29,205000,6,mensuel_constant,0,34166,2024-03-29,2024-08-29
CRD-000032,DEM-000042,INS-001,2025-04-19,200000,9,mensuel_constant,0,22222,2025-05-19,2026-01-19
CRD-000033,DEM-000043,INS-001,2024-10-16,65000,6,mensuel_constant,0,10833,2024-11-16,2025-04-16
CRD-000034,DEM-000044,INS-001,2025-04-15,145000,12,mensuel_constant,0,12083,2025-05-15,2026-04-15
CRD-000035,DEM-000045,INS-001,2025-02-08,110000,9,mensuel_constant,0,12222,2025-03-08,2025-11-08
CRD-000036,DEM-000047,INS-001,2024-11-21,75000,6,mensuel_constant,0,12500,2024-12-21,2025-05-21
CRD-000037,DEM-000048,INS-001,2025-09-27,100000,6,mensuel_constant,0,16666,2025-10-27,2026-03-27
CRD-000038,DEM-000049,INS-001,2025-10-02,250000,6,mensuel_constant,0,41666,2025-11-02,2026-04-02
