identifiant_paiement,identifiant_credit,identifiant_echeance,identifiant_institution,date_paiement,montant_paye,canal_paiement
PAI-0000001,CRD-000001,ECH-0000001,INS-001,2023-02-13,30416,agence
PAI-0000002,CRD-000001,ECH-0000002,INS-001,2023-03-08,30416,agence
PAI-0000003,CRD-000001,ECH-0000003,INS-001,2023-04-06,30416,collecteur
PAI-0000004,CRD-000001,ECH-0000004,INS-001,2023-05-12,30416,agence
PAI-0000005,CRD-000001,ECH-0000005,INS-001,2023-06-06,30416,agence
PAI-0000006,CRD-000001,ECH-0000006,INS-001,2023-07-06,30416,mobile_money
PAI-0000007,CRD-000001,ECH-0000007,INS-001,2023-08-13,30416,collecteur
PAI-0000008,CRD-000001,ECH-0000008,INS-001,2023-09-12,30416,collecteur
PAI-0000009,CRD-000001,ECH-0000009,INS-001,2023-10-07,30416,agence
PAI-0000010,CRD-000001,ECH-0000010,INS-001,2023-11-12,30416,collecteur
PAI-0000011,CRD-000001,ECH-0000011,INS-001,2023-12-13,30416,agence
PAI-0000012,CRD-000001,ECH-0000012,INS-001,2024-01-11,30424,agence
PAI-0000013,CRD-000002,ECH-0000013,INS-001,2025-06-23,30833,agence
PAI-0000014,CRD-000002,ECH-0000014,INS-001,2025-07-26,30833,mobile_money
PAI-0000015,CRD-000002,ECH-0000015,INS-001,2025-08-24,30833,agence
PAI-0000016,CRD-000002,ECH-0000016,INS-001,2025-09-27,30833,agence
PAI-0000017,CRD-000002,ECH-0000017,INS-001,2025-10-27,30833,agence
PAI-0000018,CRD-000002,ECH-0000018,INS-001,2025-11-21,30833,agence
PAI-0000019,CRD-000002,ECH-0000019,INS-001,2025-12-22,30833,agence
PAI-0000020,CRD-000003,ECH-0000025,INS-001,2024-01-08,66666,mobile_money
PAI-0000021,CRD-000003,ECH-0000026,INS-001,2024-02-10,66666,mobile_money
PAI-0000022,CRD-000003,ECH-0000027,INS-001,2024-03-13,66666,agence
PAI-0000023,CRD-000003,ECH-0000028,INS-001,2024-04-11,66666,agence
PAI-0000024,CRD-000003,ECH-0000029,INS-001,2024-05-10,66666,collecteur
PAI-0000025,CRD-000003,ECH-0000030,INS-001,2024-06-12,66666,mobile_money
PAI-0000026,CRD-000003,ECH-0000031,INS-001,2024-07-08,66666,mobile_money
PAI-0000027,CRD-000003,ECH-0000032,INS-001,2024-08-09,66666,agence
PAI-0000028,CRD-000003,ECH-0000033,INS-001,2024-09-11,66672,mobile_money
PAI-0000029,CRD-000004,ECH-0000034,INS-001,2024-10-25,100000,collecteur
PAI-0000030,CRD-000004,ECH-0000035,INS-001,2024-11-22,100000,agence
PAI-0000031,CRD-000004,ECH-0000036,INS-001,2024-12-23,100000,agence
PAI-0000032,CRD-000004,ECH-0000037,INS-001,2025-02-23,100000,agence
PAI-0000033,CRD-000004,ECH-0000038,INS-001,2025-03-27,100000,mobile_money
PAI-0000034,CRD-000004,ECH-0000039,INS-001,2025-04-27,100000,agence
PAI-0000035,CRD-000004,ECH-0000040,INS-001,2025-05-23,100000,agence
PAI-0000036,CRD-000004,ECH-0000041,INS-001,2025-06-21,100000,mobile_money
PAI-0000037,CRD-000005,ECH-0000043,INS-001,2023-08-30,22500,mobile_money
PAI-0000038,CRD-000005,ECH-0000044,INS-001,2023-10-01,22500,mobile_money
PAI-0000039,CRD-000005,ECH-0000045,INS-001,2023-11-14,22500,collecteur
PAI-0000040,CRD-000005,ECH-0000046,INS-001,2023-12-01,22500,mobile_money
PAI-0000041,CRD-000005,ECH-0000047,INS-001,2024-01-03,22500,collecteur
PAI-0000042,CRD-000005,ECH-0000048,INS-001,2024-02-03,22500,agence
PAI-0000043,CRD-000006,ECH-0000049,INS-001,2024-06-06,13166,mobile_money
PAI-0000044,CRD-000006,ECH-0000049,INS-001,2024-06-30,20416,agence
PAI-0000045,CRD-000006,ECH-0000050,INS-001,2024-08-02,20416,mobile_money
PAI-0000046,CRD-000006,ECH-0000051,INS-001,2024-08-31,20416,agence
PAI-0000047,CRD-000006,ECH-0000052,INS-001,2024-09-30,20416,mobile_money
PAI-0000048,CRD-000006,ECH-0000053,INS-001,2024-11-07,20416,mobile_money
PAI-0000049,CRD-000006,ECH-0000054,INS-001,2024-11-30,20416,agence
PAI-0000050,CRD-000006,ECH-0000055,INS-001,2025-01-05,20416,mobile_money
PAI-0000051,CRD-000006,ECH-0000056,INS-001,2025-02-20,20416,mobile_money
PAI-0000052,CRD-000006,ECH-0000057,INS-001,2025-03-02,20416,mobile_money
PAI-0000053,CRD-000006,ECH-0000058,INS-001,2025-03-31,20416,agence
PAI-0000054,CRD-000006,ECH-0000059,INS-001,2025-05-02,20424,mobile_money
PAI-0000055,CRD-000007,ECH-0000061,INS-001,2022-11-29,41666,agence
PAI-0000056,CRD-000007,ECH-0000062,INS-001,2023-01-02,41666,mobile_money
PAI-0000057,CRD-000007,ECH-0000063,INS-001,2023-02-04,41666,agence
PAI-0000058,CRD-000007,ECH-0000064,INS-001,2023-02-26,41666,mobile_money
PAI-0000059,CRD-000007,ECH-0000065,INS-001,2023-04-04,41666,agence
PAI-0000060,CRD-000007,ECH-0000066,INS-001,2023-05-04,41670,agence
PAI-0000061,CRD-000008,ECH-0000067,INS-001,2023-10-01,108333,agence
PAI-0000062,CRD-000008,ECH-0000068,INS-001,2023-11-02,108333,mobile_money
PAI-0000063,CRD-000008,ECH-0000069,INS-001,2023-12-03,108334,mobile_money
PAI-0000064,CRD-000009,ECH-0000070,INS-001,2024-07-01,40833,agence
PAI-0000065,CRD-000009,ECH-0000071,INS-001,2024-08-01,40833,collecteur
PAI-0000066,CRD-000009,ECH-0000072,INS-001,2024-09-03,40833,agence
PAI-0000067,CRD-000009,ECH-0000073,INS-001,2024-10-04,40833,mobile_money
PAI-0000068,CRD-000009,ECH-0000074,INS-001,2024-11-04,40833,collecteur
PAI-0000069,CRD-000009,ECH-0000075,INS-001,2024-11-29,40833,mobile_money
PAI-0000070,CRD-000009,ECH-0000076,INS-001,2025-01-04,40833,collecteur
PAI-0000071,CRD-000009,ECH-0000077,INS-001,2025-02-04,40833,mobile_money
PAI-0000072,CRD-000009,ECH-0000078,INS-001,2025-02-26,40833,collecteur
PAI-0000073,CRD-000009,ECH-0000079,INS-001,2025-04-04,40833,agence
PAI-0000074,CRD-000009,ECH-0000080,INS-001,2025-05-02,40833,mobile_money
PAI-0000075,CRD-000009,ECH-0000081,INS-001,2025-06-03,40837,agence
PAI-0000076,CRD-000010,ECH-0000082,INS-001,2022-09-21,65000,mobile_money
PAI-0000077,CRD-000010,ECH-0000083,INS-001,2022-10-21,65000,mobile_money
PAI-0000078,CRD-000010,ECH-0000084,INS-001,2022-11-20,65000,agence
PAI-0000079,CRD-000010,ECH-0000085,INS-001,2022-12-18,65000,agence
PAI-0000080,CRD-000010,ECH-0000086,INS-001,2023-01-17,65000,agence
PAI-0000081,CRD-000010,ECH-0000087,INS-001,2023-02-17,65000,mobile_money
PAI-0000082,CRD-000010,ECH-0000088,INS-001,2023-03-18,65000,agence
PAI-0000083,CRD-000010,ECH-0000089,INS-001,2023-04-20,65000,agence
PAI-0000084,CRD-000010,ECH-0000090,INS-001,2023-05-23,65000,agence
PAI-0000085,CRD-000010,ECH-0000091,INS-001,2023-06-20,65000,agence
PAI-0000086,CRD-000010,ECH-0000092,INS-001,2023-07-21,65000,agence
PAI-0000087,CRD-000010,ECH-0000093,INS-001,2023-08-22,65000,agence
PAI-0000088,CRD-000011,ECH-0000094,INS-001,2023-12-26,50000,agence
PAI-0000089,CRD-000011,ECH-0000095,INS-001,2024-01-28,50000,mobile_money
PAI-0000090,CRD-000011,ECH-0000096,INS-001,2024-02-26,50000,agence
PAI-0000091,CRD-000011,ECH-0000097,INS-001,2024-03-29,50000,agence
PAI-0000092,CRD-000011,ECH-0000098,INS-001,2024-04-28,50000,agence
PAI-0000093,CRD-000011,ECH-0000099,INS-001,2024-05-26,50000,collecteur
PAI-0000094,CRD-000011,ECH-0000100,INS-001,2024-06-24,50000,agence
PAI-0000095,CRD-000011,ECH-0000101,INS-001,2024-07-22,50000,collecteur
PAI-0000096,CRD-000011,ECH-0000102,INS-001,2024-08-28,50000,collecteur
PAI-0000097,CRD-000011,ECH-0000103,INS-001,2024-09-29,50000,mobile_money
PAI-0000098,CRD-000011,ECH-0000104,INS-001,2024-10-24,50000,mobile_money
PAI-0000099,CRD-000011,ECH-0000105,INS-001,2024-11-22,50000,agence
PAI-0000100,CRD-000012,ECH-0000106,INS-001,2024-08-19,100000,mobile_money
PAI-0000101,CRD-000012,ECH-0000107,INS-001,2024-09-22,100000,agence
PAI-0000102,CRD-000012,ECH-0000108,INS-001,2024-10-20,100000,mobile_money
PAI-0000103,CRD-000012,ECH-0000109,INS-001,2024-11-15,100000,agence
PAI-0000104,CRD-000012,ECH-0000110,INS-001,2024-12-16,100000,agence
PAI-0000105,CRD-000012,ECH-0000111,INS-001,2025-01-16,100000,mobile_money
PAI-0000106,CRD-000012,ECH-0000112,INS-001,2025-02-16,100000,agence
PAI-0000107,CRD-000012,ECH-0000113,INS-001,2025-03-29,100000,mobile_money
PAI-0000108,CRD-000012,ECH-0000114,INS-001,2025-04-15,100000,collecteur
PAI-0000109,CRD-000013,ECH-0000115,INS-001,2025-12-07,52777,agence
PAI-0000110,CRD-000014,ECH-0000124,INS-001,2024-04-29,12500,agence
PAI-0000111,CRD-000014,ECH-0000125,INS-001,2024-05-28,12500,mobile_money
PAI-0000112,CRD-000014,ECH-0000126,INS-001,2024-06-30,12500,agence
PAI-0000113,CRD-000014,ECH-0000127,INS-001,2024-08-01,12500,agence
PAI-0000114,CRD-000014,ECH-0000128,INS-001,2024-08-31,12500,mobile_money
PAI-0000115,CRD-000014,ECH-0000129,INS-001,2024-09-30,12500,agence
PAI-0000116,CRD-000014,ECH-0000130,INS-001,2024-10-26,12500,agence
PAI-0000117,CRD-000014,ECH-0000131,INS-001,2024-11-29,12500,mobile_money
PAI-0000118,CRD-000014,ECH-0000132,INS-001,2024-12-31,12500,agence
PAI-0000119,CRD-000014,ECH-0000133,INS-001,2025-01-30,12500,agence
PAI-0000120,CRD-000014,ECH-0000134,INS-001,2025-02-28,12500,collecteur
PAI-0000121,CRD-000014,ECH-0000135,INS-001,2025-03-31,12500,agence
PAI-0000122,CRD-000015,ECH-0000136,INS-001,2024-03-11,33750,agence
PAI-0000123,CRD-000015,ECH-0000137,INS-001,2024-04-05,33750,mobile_money
PAI-0000124,CRD-000015,ECH-0000138,INS-001,2024-05-09,33750,agence
PAI-0000125,CRD-000015,ECH-0000139,INS-001,2024-06-06,33750,mobile_money
PAI-0000126,CRD-000015,ECH-0000140,INS-001,2024-07-09,33750,collecteur
PAI-0000127,CRD-000015,ECH-0000141,INS-001,2024-08-04,33750,agence
PAI-0000128,CRD-000015,ECH-0000142,INS-001,2024-09-04,33750,mobile_money
PAI-0000129,CRD-000015,ECH-0000143,INS-001,2024-10-11,33750,collecteur
PAI-0000130,CRD-000015,ECH-0000144,INS-001,2024-11-07,33750,agence
PAI-0000131,CRD-000015,ECH-0000145,INS-001,2024-12-11,33750,collecteur
PAI-0000132,CRD-000015,ECH-0000146,INS-001,2025-02-05,33750,agence
PAI-0000133,CRD-000016,ECH-0000148,INS-001,2023-11-29,21666,agence
PAI-0000134,CRD-000016,ECH-0000149,INS-001,2023-12-22,21666,mobile_money
PAI-0000135,CRD-000016,ECH-0000150,INS-001,2024-01-29,21666,agence
PAI-0000136,CRD-000016,ECH-0000151,INS-001,2024-02-29,21666,agence
PAI-0000137,CRD-000016,ECH-0000152,INS-001,2024-03-27,21666,collecteur
PAI-0000138,CRD-000016,ECH-0000153,INS-001,2024-04-28,21666,mobile_money
PAI-0000139,CRD-000016,ECH-0000154,INS-001,2024-05-29,21666,agence
PAI-0000140,CRD-000016,ECH-0000155,INS-001,2024-06-28,21666,agence
PAI-0000141,CRD-000016,ECH-0000156,INS-001,2024-07-26,21672,mobile_money
PAI-0000142,CRD-000017,ECH-0000157,INS-001,2023-07-31,15000,mobile_money
PAI-0000143,CRD-000017,ECH-0000158,INS-001,2023-09-04,15000,agence
PAI-0000144,CRD-000017,ECH-0000159,INS-001,2023-10-02,15000,mobile_money
PAI-0000145,CRD-000017,ECH-0000160,INS-001,2023-11-02,15000,agence
PAI-0000146,CRD-000017,ECH-0000161,INS-001,2023-12-02,15000,agence
PAI-0000147,CRD-000017,ECH-0000162,INS-001,2024-01-07,15000,collecteur
PAI-0000148,CRD-000017,ECH-0000163,INS-001,2024-02-04,15000,agence
PAI-0000149,CRD-000017,ECH-0000164,INS-001,2024-03-06,15000,collecteur
PAI-0000150,CRD-000017,ECH-0000165,INS-001,2024-04-02,15000,agence
PAI-0000151,CRD-000018,ECH-0000166,INS-001,2025-06-23,8333,mobile_money
PAI-0000152,CRD-000018,ECH-0000167,INS-001,2025-07-25,8333,agence
PAI-0000153,CRD-000018,ECH-0000168,INS-001,2025-08-23,8333,agence
PAI-0000154,CRD-000018,ECH-0000169,INS-001,2025-09-28,8333,mobile_money
PAI-0000155,CRD-000018,ECH-0000170,INS-001,2025-10-26,8333,mobile_money
PAI-0000156,CRD-000018,ECH-0000171,INS-001,2025-11-25,8335,mobile_money
PAI-0000157,CRD-000019,ECH-0000172,INS-001,2024-12-04,86666,mobile_money
PAI-0000158,CRD-000019,ECH-0000173,INS-001,2024-12-30,86666,collecteur
PAI-0000159,CRD-000019,ECH-0000174,INS-001,2025-02-01,86666,mobile_money
PAI-0000160,CRD-000019,ECH-0000175,INS-001,2025-03-03,86666,agence
PAI-0000161,CRD-000019,ECH-0000176,INS-001,2025-04-06,86666,mobile_money
PAI-0000162,CRD-000019,ECH-0000177,INS-001,2025-05-05,86670,mobile_money
PAI-0000163,CRD-000020,ECH-0000178,INS-001,2025-09-21,65000,collecteur
PAI-0000164,CRD-000020,ECH-0000179,INS-001,2025-10-20,65000,agence
PAI-0000165,CRD-000020,ECH-0000180,INS-001,2025-11-18,65000,mobile_money
PAI-0000166,CRD-000021,ECH-0000181,INS-001,2024-10-18,75000,agence
PAI-0000167,CRD-000021,ECH-0000182,INS-001,2024-11-16,75000,agence
PAI-0000168,CRD-000021,ECH-0000183,INS-001,2024-12-18,75000,mobile_money
PAI-0000169,CRD-000021,ECH-0000184,INS-001,2025-01-17,75000,mobile_money
PAI-0000170,CRD-000021,ECH-0000185,INS-001,2025-02-17,75000,agence
PAI-0000171,CRD-000021,ECH-0000186,INS-001,2025-03-21,75000,collecteur
PAI-0000172,CRD-000021,ECH-0000187,INS-001,2025-04-23,75000,mobile_money
PAI-0000173,CRD-000021,ECH-0000188,INS-001,2025-05-17,75000,agence
PAI-0000174,CRD-000021,ECH-0000189,INS-001,2025-06-16,75000,agence
PAI-0000175,CRD-000021,ECH-0000190,INS-001,2025-07-21,75000,mobile_money
PAI-0000176,CRD-000021,ECH-0000191,INS-001,2025-08-20,75000,agence
PAI-0000177,CRD-000021,ECH-0000192,INS-001,2025-09-17,75000,agence
PAI-0000178,CRD-000022,ECH-0000193,INS-001,2023-07-07,23888,mobile_money
PAI-0000179,CRD-000022,ECH-0000194,INS-001,2023-08-05,23888,mobile_money
PAI-0000180,CRD-000022,ECH-0000195,INS-001,2023-09-09,23888,agence
PAI-0000181,CRD-000022,ECH-0000196,INS-001,2023-10-05,23888,mobile_money
PAI-0000182,CRD-000022,ECH-0000197,INS-001,2023-11-08,23888,agence
PAI-0000183,CRD-000022,ECH-0000198,INS-001,2023-12-08,23888,mobile_money
PAI-0000184,CRD-000022,ECH-0000199,INS-001,2024-01-09,23888,mobile_money
PAI-0000185,CRD-000022,ECH-0000200,INS-001,2024-02-09,23888,agence
PAI-0000186,CRD-000022,ECH-0000201,INS-001,2024-03-09,23896,mobile_money
PAI-0000187,CRD-000023,ECH-0000202,INS-001,2024-08-27,50000,agence
PAI-0000188,CRD-000023,ECH-0000203,INS-001,2024-09-28,50000,agence
PAI-0000189,CRD-000023,ECH-0000204,INS-001,2024-10-29,50000,agence
PAI-0000190,CRD-000023,ECH-0000205,INS-001,2024-11-24,50000,agence
PAI-0000191,CRD-000023,ECH-0000206,INS-001,2024-12-28,50000,agence
PAI-0000192,CRD-000023,ECH-0000207,INS-001,2025-01-28,50000,agence
PAI-0000193,CRD-000023,ECH-0000208,INS-001,2025-02-25,50000,collecteur
PAI-0000194,CRD-000023,ECH-0000209,INS-001,2025-03-29,50000,mobile_money
PAI-0000195,CRD-000023,ECH-0000210,INS-001,2025-04-28,50000,collecteur
PAI-0000196,CRD-000023,ECH-0000211,INS-001,2025-05-25,50000,collecteur
PAI-0000197,CRD-000023,ECH-0000212,INS-001,2025-06-26,50000,agence
PAI-0000198,CRD-000023,ECH-0000213,INS-001,2025-07-29,50000,mobile_money
PAI-0000199,CRD-000024,ECH-0000214,INS-001,2025-09-04,66666,mobile_money
PAI-0000200,CRD-000024,ECH-0000215,INS-001,2025-10-09,66666,mobile_money
PAI-0000201,CRD-000024,ECH-0000216,INS-001,2025-11-05,66666,mobile_money
PAI-0000202,CRD-000024,ECH-0000217,INS-001,2025-12-09,66666,agence
PAI-0000203,CRD-000025,ECH-0000223,INS-001,2023-05-23,50000,agence
PAI-0000204,CRD-000025,ECH-0000224,INS-001,2023-06-23,50000,collecteur
PAI-0000205,CRD-000025,ECH-0000225,INS-001,2023-07-21,50000,mobile_money
PAI-0000206,CRD-000025,ECH-0000226,INS-001,2023-08-20,50000,mobile_money
PAI-0000207,CRD-000025,ECH-0000227,INS-001,2023-09-22,50000,collecteur
PAI-0000208,CRD-000025,ECH-0000228,INS-001,2023-10-23,50000,agence
PAI-0000209,CRD-000025,ECH-0000229,INS-001,2023-11-22,50000,collecteur
PAI-0000210,CRD-000025,ECH-0000230,INS-001,2023-12-19,50000,agence
PAI-0000211,CRD-000025,ECH-0000231,INS-001,2024-01-22,50000,agence
PAI-0000212,CRD-000025,ECH-0000232,INS-001,2024-02-21,50000,agence
PAI-0000213,CRD-000025,ECH-0000233,INS-001,2024-03-23,50000,mobile_money
PAI-0000214,CRD-000025,ECH-0000234,INS-001,2024-04-23,50000,mobile_money
PAI-0000215,CRD-000026,ECH-0000235,INS-001,2024-10-26,101250,agence
PAI-0000216,CRD-000026,ECH-0000236,INS-001,2024-11-23,101250,agence
PAI-0000217,CRD-000026,ECH-0000237,INS-001,2024-12-25,101250,agence
PAI-0000218,CRD-000026,ECH-0000238,INS-001,2025-01-20,101250,agence
PAI-0000219,CRD-000026,ECH-0000239,INS-001,2025-02-23,101250,agence
PAI-0000220,CRD-000026,ECH-0000240,INS-001,2025-03-23,101250,mobile_money
PAI-0000221,CRD-000026,ECH-0000241,INS-001,2025-04-23,101250,mobile_money
PAI-0000222,CRD-000026,ECH-0000242,INS-001,2025-05-23,101250,agence
PAI-0000223,CRD-000026,ECH-0000243,INS-001,2025-06-20,101250,agence
PAI-0000224,CRD-000026,ECH-0000244,INS-001,2025-07-23,101250,agence
PAI-0000225,CRD-000026,ECH-0000245,INS-001,2025-08-27,101250,agence
PAI-0000226,CRD-000026,ECH-0000246,INS-001,2025-09-23,101250,mobile_money
PAI-0000227,CRD-000027,ECH-0000247,INS-001,2024-06-22,40555,agence
PAI-0000228,CRD-000027,ECH-0000248,INS-001,2024-07-26,40555,agence
PAI-0000229,CRD-000027,ECH-0000249,INS-001,2024-08-28,40555,mobile_money
PAI-0000230,CRD-000027,ECH-0000250,INS-001,2024-09-21,40555,agence
PAI-0000231,CRD-000027,ECH-0000251,INS-001,2024-10-21,40555,mobile_money
PAI-0000232,CRD-000027,ECH-0000252,INS-001,2024-11-25,40555,mobile_money
PAI-0000233,CRD-000027,ECH-0000253,INS-001,2024-12-23,40555,collecteur
PAI-0000234,CRD-000027,ECH-0000254,INS-001,2025-01-22,40555,collecteur
PAI-0000235,CRD-000027,ECH-0000255,INS-001,2025-02-23,40560,collecteur
PAI-0000236,CRD-000028,ECH-0000256,INS-001,2024-03-25,33333,collecteur
PAI-0000237,CRD-000028,ECH-0000257,INS-001,2024-04-27,33333,mobile_money
PAI-0000238,CRD-000028,ECH-0000258,INS-001,2024-05-22,33333,collecteur
PAI-0000239,CRD-000028,ECH-0000259,INS-001,2024-06-23,33333,mobile_money
PAI-0000240,CRD-000028,ECH-0000260,INS-001,2024-07-28,33333,mobile_money
PAI-0000241,CRD-000028,ECH-0000261,INS-001,2024-08-28,33333,agence
PAI-0000242,CRD-000028,ECH-0000262,INS-001,2024-09-24,33333,mobile_money
PAI-0000243,CRD-000028,ECH-0000263,INS-001,2024-10-29,33333,agence
PAI-0000244,CRD-000028,ECH-0000264,INS-001,2024-11-27,33336,agence
PAI-0000245,CRD-000029,ECH-0000265,INS-001,2024-09-17,50000,agence
PAI-0000246,CRD-000029,ECH-0000266,INS-001,2024-10-19,50000,agence
PAI-0000247,CRD-000029,ECH-0000267,INS-001,2024-11-23,50000,agence
PAI-0000248,CRD-000029,ECH-0000268,INS-001,2024-12-18,50000,mobile_money
PAI-0000249,CRD-000029,ECH-0000269,INS-001,2025-01-17,50000,agence
PAI-0000250,CRD-000029,ECH-0000270,INS-001,2025-02-17,50000,mobile_money
PAI-0000251,CRD-000029,ECH-0000271,INS-001,2025-03-17,50000,agence
PAI-0000252,CRD-000029,ECH-0000272,INS-001,2025-04-20,50000,agence
PAI-0000253,CRD-000029,ECH-0000273,INS-001,2025-05-23,50000,mobile_money
PAI-0000254,CRD-000029,ECH-0000274,INS-001,2025-06-23,50000,mobile_money
PAI-0000255,CRD-000029,ECH-0000275,INS-001,2025-07-19,50000,mobile_money
PAI-0000256,CRD-000029,ECH-0000276,INS-001,2025-08-23,50000,agence
PAI-0000257,CRD-000030,ECH-0000277,INS-001,2024-03-02,36666,mobile_money
PAI-0000258,CRD-000030,ECH-0000278,INS-001,2024-03-29,36666,agence
PAI-0000259,CRD-000030,ECH-0000279,INS-001,2024-05-03,36666,agence
PAI-0000260,CRD-000030,ECH-0000280,INS-001,2024-05-29,36666,mobile_money
PAI-0000261,CRD-000030,ECH-0000281,INS-001,2024-06-28,36666,agence
PAI-0000262,CRD-000030,ECH-0000282,INS-001,2024-07-27,36666,collecteur
