identifiant_client,identifiant_institution,identifiant_agence,date_entree_relation,date_sortie_relation,code_secteur_principal,anciennete_activite_mois_a_entree,possede_compte_epargne,montant_epargne_a_entree
CLT-000001,INS-001,AGE-004,2015-02-08,2017-09-08,COMMERCE,64,0,
CLT-000002,INS-001,AGE-001,2015-03-16,2018-11-16,COMMERCE,138,0,
CLT-000003,INS-001,AGE-005,2015-07-04,2025-08-04,COMMERCE,360,0,
CLT-000004,INS-001,AGE-002,2015-09-11,2021-12-11,PETITE_PRODUCTION,51,0,
CLT-000005,INS-001,AGE-008,2016-11-18,,COMMERCE,12,1,56500
CLT-000006,INS-001,AGE-005,2017-04-13,,COMMERCE,77,0,
CLT-000007,INS-001,AGE-002,2017-05-01,2021-03-01,TRANSPORT,48,0,
CLT-000008,INS-001,AGE-005,2018-08-06,,TRANSPORT,38,1,24000
CLT-000009,INS-001,AGE-005,2019-01-31,2025-03-31,COMMERCE,141,0,
CLT-000010,INS-001,AGE-008,2019-08-30,,COMMERCE,29,1,47000
CLT-000011,INS-001,AGE-001,2020-11-30,2021-12-30,TRANSPORT,109,0,
CLT-000012,INS-001,AGE-008,2021-01-01,,COMMERCE,30,1,44000
CLT-000013,INS-001,AGE-001,2021-05-14,,SERVICES,26,0,
CLT-000014,INS-001,AGE-002,2021-08-19,,SERVICES,37,0,
CLT-000015,INS-001,AGE-005,2021-09-02,,COMMERCE,70,1,81500
CLT-000016,INS-001,AGE-003,2021-10-05,,COMMERCE,73,1,23500
CLT-000017,INS-001,AGE-007,2021-12-11,2025-06-11,COMMERCE,12,1,12500
CLT-000018,INS-001,AGE-003,2022-03-26,2024-11-26,COMMERCE,49,1,53000
CLT-000019,INS-001,AGE-001,2022-05-08,,ARTISANAT,18,0,
CLT-000020,INS-001,AGE-002,2022-05-22,,COMMERCE,18,1,73500
CLT-000021,INS-001,AGE-003,2022-06-03,2024-03-03,ARTISANAT,66,1,31000
CLT-000022,INS-001,AGE-008,2022-07-14,,SERVICES,108,1,26000
CLT-000023,INS-001,AGE-008,2025-04-06,,COMMERCE,34,1,111500
CLT-000024,INS-001,AGE-007,2022-12-25,,COMMERCE,87,1,60000
CLT-000025,INS-001,AGE-005,2023-01-21,,ARTISANAT,92,1,199000
CLT-000026,INS-001,AGE-001,2023-04-01,,SERVICES,71,1,45500
CLT-000027,INS-001,AGE-008,2023-04-29,,COMMERCE,17,0,
CLT-000028,INS-001,AGE-006,2023-06-18,,RESTAURATION,72,0,
CLT-000029,INS-001,AGE-004,2023-06-25,,RESTAURATION,19,0,
CLT-000030,INS-001,AGE-001,2023-07-05,,COMMERCE,130,1,45500
CLT-000031,INS-001,AGE-006,2023-09-18,,TRANSPORT,20,1,12000
CLT-000032,INS-001,AGE-006,2023-09-21,,PETITE_PRODUCTION,26,1,55500
CLT-000033,INS-001,AGE-004,2024-01-05,,COMMERCE,133,0,
CLT-000034,INS-001,AGE-002,2024-02-06,,COMMERCE,179,1,105000
CLT-000035,INS-001,AGE-007,2024-03-26,,COMMERCE,137,1,24500
CLT-000036,INS-001,AGE-007,2024-05-07,,SERVICES,34,1,48500
CLT-000037,INS-001,AGE-008,2024-07-25,,COMMERCE,140,1,36000
CLT-000038,INS-001,AGE-006,2024-09-03,,COMMERCE,38,0,
CLT-000039,INS-001,AGE-004,2024-09-07,,COMMERCE,8,0,
CLT-000040,INS-001,AGE-008,2024-10-10,,COMMERCE,17,1,5000
CLT-000041,INS-001,AGE-004,2025-08-16,,ARTISANAT,11,1,10000
CLT-000042,INS-001,AGE-003,2025-01-30,,COMMERCE,30,1,157000
CLT-000043,INS-001,AGE-001,2025-01-30,,COMMERCE,68,1,30500
CLT-000044,INS-001,AGE-005,2025-06-21,,ARTISANAT,84,1,295500
CLT-000045,INS-001,AGE-005,2025-07-10,,TRANSPORT,82,0,
CLT-000046,INS-001,AGE-001,2025-08-02,,RESTAURATION,99,0,
CLT-000047,INS-001,AGE-004,2025-08-14,,COMMERCE,47,1,33500
CLT-000048,INS-001,AGE-005,2025-09-16,,SERVICES,108,0,
CLT-000049,INS-001,AGE-008,2025-09-30,,COMMERCE,59,1,9500
CLT-000050,INS-001,AGE-002,2025-10-26,,COMMERCE,21,0,
