identifiant_demande,identifiant_client,identifiant_institution,identifiant_agent,identifiant_produit,date_demande,montant_demande,duree_demandee_mois,objet_credit,identifiant_releve_instruction,rang_demande_client
DEM-000001,CLT-000003,INS-001,AGT-0001,PRO-002,2022-12-21,600000,12,achat_stock,REL-000003,1
DEM-000002,CLT-000003,INS-001,AGT-0001,PRO-002,2025-05-12,600000,12,achat_stock,REL-000009,2
DEM-000003,CLT-000005,INS-001,AGT-0003,PRO-002,2023-11-09,600000,9,achat_stock,REL-000014,1
DEM-000004,CLT-000005,INS-001,AGT-0003,PRO-003,2024-09-05,900000,9,achat_stock,REL-000016,2
DEM-000005,CLT-000006,INS-001,AGT-0003,PRO-002,2023-07-07,135000,6,achat_stock,REL-000019,1
DEM-000006,CLT-000006,INS-001,AGT-0001,PRO-005,2024-04-14,395000,12,equipement,REL-000020,2
DEM-000007,CLT-000008,INS-001,AGT-0003,PRO-001,2022-10-12,250000,6,tresorerie,REL-000024,1
DEM-000008,CLT-000008,INS-001,AGT-0001,PRO-002,2023-08-11,325000,3,achat_stock,REL-000025,2
DEM-000009,CLT-000008,INS-001,AGT-0003,PRO-002,2024-05-14,600000,12,achat_stock,REL-000026,3
DEM-000010,CLT-000009,INS-001,AGT-0003,PRO-003,2022-08-07,900000,12,achat_stock,REL-000031,1
DEM-000011,CLT-000009,INS-001,AGT-0003,PRO-002,2023-11-14,600000,12,achat_stock,REL-000033,2
DEM-000012,CLT-000010,INS-001,AGT-0003,PRO-003,2024-06-26,900000,9,achat_stock,REL-000045,1
DEM-000013,CLT-000010,INS-001,AGT-0001,PRO-002,2025-10-08,600000,9,achat_stock,REL-000049,2
DEM-000014,CLT-000012,INS-001,AGT-0003,PRO-003,2024-03-24,150000,12,achat_stock,REL-000057,1
DEM-000015,CLT-000013,INS-001,AGT-0001,PRO-002,2025-07-23,360000,12,achat_stock,REL-000063,1
DEM-000016,CLT-000014,INS-001,AGT-0001,PRO-002,2022-11-16,555000,9,achat_stock,REL-000065,1
DEM-000017,CLT-000014,INS-001,AGT-0003,PRO-005,2024-01-24,640000,12,equipement,REL-000067,2
DEM-000018,CLT-000014,INS-001,AGT-0003,PRO-002,2025-11-11,600000,6,achat_stock,REL-000069,3
DEM-000019,CLT-000015,INS-001,AGT-0001,PRO-002,2023-10-08,195000,6,achat_stock,REL-000071,1
DEM-000020,CLT-000016,INS-001,AGT-0003,PRO-002,2023-06-05,135000,9,achat_stock,REL-000073,1
DEM-000021,CLT-000016,INS-001,AGT-0003,PRO-002,2025-05-09,50000,6,achat_stock,REL-000074,2
DEM-000022,CLT-000017,INS-001,AGT-0001,PRO-003,2023-01-12,900000,12,achat_stock,REL-000076,1
DEM-000023,CLT-000018,INS-001,AGT-0003,PRO-005,2023-06-18,860000,12,equipement,REL-000079,1
DEM-000024,CLT-000018,INS-001,AGT-0003,PRO-002,2024-10-08,520000,6,achat_stock,REL-000080,2
DEM-000025,CLT-000019,INS-001,AGT-0001,PRO-001,2024-04-15,250000,9,tresorerie,REL-000082,1
DEM-000026,CLT-000019,INS-001,AGT-0001,PRO-001,2025-08-13,195000,3,tresorerie,REL-000084,2
DEM-000027,CLT-000020,INS-001,AGT-0001,PRO-003,2024-09-09,900000,12,achat_stock,REL-000087,1
DEM-000028,CLT-000021,INS-001,AGT-0003,PRO-001,2023-03-23,95000,6,tresorerie,REL-000089,1
DEM-000029,CLT-000022,INS-001,AGT-0003,PRO-001,2023-05-11,250000,9,tresorerie,REL-000092,1
DEM-000030,CLT-000022,INS-001,AGT-0001,PRO-002,2024-07-19,600000,12,achat_stock,REL-000093,2
DEM-000031,CLT-000022,INS-001,AGT-0001,PRO-002,2025-07-25,600000,9,achat_stock,REL-000094,3
DEM-000032,CLT-000024,INS-001,AGT-0003,PRO-002,2023-03-25,600000,12,achat_stock,REL-000099,1
DEM-000033,CLT-000025,INS-001,AGT-0003,PRO-005,2024-03-12,565000,12,equipement,REL-000104,1
DEM-000034,CLT-000025,INS-001,AGT-0001,PRO-005,2024-09-03,1215000,12,equipement,REL-000105,2
DEM-000035,CLT-000026,INS-001,AGT-0001,PRO-002,2024-05-04,585000,9,achat_stock,REL-000107,1
DEM-000036,CLT-000027,INS-001,AGT-0003,PRO-003,2024-02-14,300000,6,achat_stock,REL-000109,1
DEM-000037,CLT-000027,INS-001,AGT-0001,PRO-002,2025-02-05,355000,12,achat_stock,REL-000110,2
DEM-000038,CLT-000028,INS-001,AGT-0003,PRO-002,2024-08-11,600000,12,achat_stock,REL-000113,1
DEM-000039,CLT-000028,INS-001,AGT-0001,PRO-002,2025-09-24,50000,6,achat_stock,REL-000115,2
DEM-000040,CLT-000029,INS-001,AGT-0003,PRO-002,2024-01-08,440000,12,achat_stock,REL-000117,1
DEM-000041,CLT-000032,INS-001,AGT-0001,PRO-002,2024-02-04,205000,6,achat_stock,REL-000128,1
