identifiant_echeance,identifiant_credit,identifiant_institution,numero_echeance,date_exigible,montant_capital_du,montant_interet_du,montant_total_du
ECH-0000001,CRD-000001,INS-001,1,2023-02-09,30416,0,30416
ECH-0000002,CRD-000001,INS-001,2,2023-03-09,30416,0,30416
ECH-0000003,CRD-000001,INS-001,3,2023-04-09,30416,0,30416
ECH-0000004,CRD-000001,INS-001,4,2023-05-09,30416,0,30416
ECH-0000005,CRD-000001,INS-001,5,2023-06-09,30416,0,30416
ECH-0000006,CRD-000001,INS-001,6,2023-07-09,30416,0,30416
ECH-0000007,CRD-000001,INS-001,7,2023-08-09,30416,0,30416
ECH-0000008,CRD-000001,INS-001,8,2023-09-09,30416,0,30416
ECH-0000009,CRD-000001,INS-001,9,2023-10-09,30416,0,30416
ECH-0000010,CRD-000001,INS-001,10,2023-11-09,30416,0,30416
ECH-0000011,CRD-000001,INS-001,11,2023-12-09,30416,0,30416
ECH-0000012,CRD-000001,INS-001,12,2024-01-09,30424,0,30424
ECH-0000013,CRD-000002,INS-001,1,2025-06-24,30833,0,30833
ECH-0000014,CRD-000002,INS-001,2,2025-07-24,30833,0,30833
ECH-0000015,CRD-000002,INS-001,3,2025-08-24,30833,0,30833
ECH-0000016,CRD-000002,INS-001,4,2025-09-24,30833,0,30833
ECH-0000017,CRD-000002,INS-001,5,2025-10-24,30833,0,30833
ECH-0000018,CRD-000002,INS-001,6,2025-11-24,30833,0,30833
ECH-0000019,CRD-000002,INS-001,7,2025-12-24,30833,0,30833
ECH-0000020,CRD-000002,INS-001,8,2026-01-24,30833,0,30833
ECH-0000021,CRD-000002,INS-001,9,2026-02-24,30833,0,30833
ECH-0000022,CRD-000002,INS-001,10,2026-03-24,30833,0,30833
ECH-0000023,CRD-000002,INS-001,11,2026-04-24,30833,0,30833
ECH-0000024,CRD-000002,INS-001,12,2026-05-24,30837,0,30837
ECH-0000025,CRD-000003,INS-001,1,2024-01-09,66666,0,66666
ECH-0000026,CRD-000003,INS-001,2,2024-02-09,66666,0,66666
ECH-0000027,CRD-000003,INS-001,3,2024-03-09,66666,0,66666
ECH-0000028,CRD-000003,INS-001,4,2024-04-09,66666,0,66666
ECH-0000029,CRD-000003,INS-001,5,2024-05-09,66666,0,66666
ECH-0000030,CRD-000003,INS-001,6,2024-06-09,66666,0,66666
ECH-0000031,CRD-000003,INS-001,7,2024-07-09,66666,0,66666
ECH-0000032,CRD-000003,INS-001,8,2024-08-09,66666,0,66666
ECH-0000033,CRD-000003,INS-001,9,2024-09-09,66672,0,66672
ECH-0000034,CRD-000004,INS-001,1,2024-10-24,100000,0,100000
ECH-0000035,CRD-000004,INS-001,2,2024-11-24,100000,0,100000
ECH-0000036,CRD-000004,INS-001,3,2024-12-24,100000,0,100000
ECH-0000037,CRD-000004,INS-001,4,2025-01-24,100000,0,100000
ECH-0000038,CRD-000004,INS-001,5,2025-02-24,100000,0,100000
ECH-0000039,CRD-000004,INS-001,6,2025-03-24,100000,0,100000
ECH-0000040,CRD-000004,INS-001,7,2025-04-24,100000,0,100000
ECH-0000041,CRD-000004,INS-001,8,2025-05-24,100000,0,100000
ECH-0000042,CRD-000004,INS-001,9,2025-06-24,100000,0,100000
ECH-0000043,CRD-000005,INS-001,1,2023-08-30,22500,0,22500
ECH-0000044,CRD-000005,INS-001,2,2023-09-30,22500,0,22500
ECH-0000045,CRD-000005,INS-001,3,2023-10-30,22500,0,22500
ECH-0000046,CRD-000005,INS-001,4,2023-11-30,22500,0,22500
ECH-0000047,CRD-000005,INS-001,5,2023-12-30,22500,0,22500
ECH-0000048,CRD-000005,INS-001,6,2024-01-30,22500,0,22500
ECH-0000049,CRD-000006,INS-001,1,2024-06-03,20416,0,20416
ECH-0000050,CRD-000006,INS-001,2,2024-07-03,20416,0,20416
ECH-0000051,CRD-000006,INS-001,3,2024-08-03,20416,0,20416
ECH-0000052,CRD-000006,INS-001,4,2024-09-03,20416,0,20416
ECH-0000053,CRD-000006,INS-001,5,2024-10-03,20416,0,20416
ECH-0000054,CRD-000006,INS-001,6,2024-11-03,20416,0,20416
ECH-0000055,CRD-000006,INS-001,7,2024-12-03,20416,0,20416
ECH-0000056,CRD-000006,INS-001,8,2025-01-03,20416,0,20416
ECH-0000057,CRD-000006,INS-001,9,2025-02-03,20416,0,20416
ECH-0000058,CRD-000006,INS-001,10,2025-03-03,20416,0,20416
ECH-0000059,CRD-000006,INS-001,11,2025-04-03,20416,0,20416
ECH-0000060,CRD-000006,INS-001,12,2025-05-03,20424,0,20424
ECH-0000061,CRD-000007,INS-001,1,2022-12-01,41666,0,41666
ECH-0000062,CRD-000007,INS-001,2,2023-01-01,41666,0,41666
ECH-0000063,CRD-000007,INS-001,3,2023-02-01,41666,0,41666
ECH-0000064,CRD-000007,INS-001,4,2023-03-01,41666,0,41666
ECH-0000065,CRD-000007,INS-001,5,2023-04-01,41666,0,41666
ECH-0000066,CRD-000007,INS-001,6,2023-05-01,41670,0,41670
ECH-0000067,CRD-000008,INS-001,1,2023-09-30,108333,0,108333
ECH-0000068,CRD-000008,INS-001,2,2023-10-30,108333,0,108333
ECH-0000069,CRD-000008,INS-001,3,2023-11-30,108334,0,108334
ECH-0000070,CRD-000009,INS-001,1,2024-07-01,40833,0,40833
ECH-0000071,CRD-000009,INS-001,2,2024-08-01,40833,0,40833
ECH-0000072,CRD-000009,INS-001,3,2024-09-01,40833,0,40833
ECH-0000073,CRD-000009,INS-001,4,2024-10-01,40833,0,40833
ECH-0000074,CRD-000009,INS-001,5,2024-11-01,40833,0,40833
ECH-0000075,CRD-000009,INS-001,6,2024-12-01,40833,0,40833
ECH-0000076,CRD-000009,INS-001,7,2025-01-01,40833,0,40833
ECH-0000077,CRD-000009,INS-001,8,2025-02-01,40833,0,40833
ECH-0000078,CRD-000009,INS-001,9,2025-03-01,40833,0,40833
ECH-0000079,CRD-000009,INS-001,10,2025-04-01,40833,0,40833
ECH-0000080,CRD-000009,INS-001,11,2025-05-01,40833,0,40833
ECH-0000081,CRD-000009,INS-001,12,2025-06-01,40837,0,40837
ECH-0000082,CRD-000010,INS-001,1,2022-09-19,65000,0,65000
ECH-0000083,CRD-000010,INS-001,2,2022-10-19,65000,0,65000
ECH-0000084,CRD-000010,INS-001,3,2022-11-19,65000,0,65000
ECH-0000085,CRD-000010,INS-001,4,2022-12-19,65000,0,65000
ECH-0000086,CRD-000010,INS-001,5,2023-01-19,65000,0,65000
ECH-0000087,CRD-000010,INS-001,6,2023-02-19,65000,0,65000
ECH-0000088,CRD-000010,INS-001,7,2023-03-19,65000,0,65000
ECH-0000089,CRD-000010,INS-001,8,2023-04-19,65000,0,65000
ECH-0000090,CRD-000010,INS-001,9,2023-05-19,65000,0,65000
ECH-0000091,CRD-000010,INS-001,10,2023-06-19,65000,0,65000
ECH-0000092,CRD-000010,INS-001,11,2023-07-19,65000,0,65000
ECH-0000093,CRD-000010,INS-001,12,2023-08-19,65000,0,65000
ECH-0000094,CRD-000011,INS-001,1,2023-12-25,50000,0,50000
ECH-0000095,CRD-000011,INS-001,2,2024-01-25,50000,0,50000
ECH-0000096,CRD-000011,INS-001,3,2024-02-25,50000,0,50000
