identifiant_activite,identifiant_client,identifiant_institution,code_secteur,libelle_activite,est_activite_principale,date_debut_activite,date_fin_activite
ACT-000001,CLT-000001,INS-001,COMMERCE,Boutique de quartier,1,2009-10-08,
ACT-000002,CLT-000002,INS-001,COMMERCE,Vente de céréales,1,2003-09-16,
ACT-000003,CLT-000003,INS-001,COMMERCE,Vente de céréales,1,1985-07-04,
ACT-000004,CLT-000003,INS-001,ARTISANAT,Menuiserie,0,1985-07-04,
ACT-000005,CLT-000004,INS-001,PETITE_PRODUCTION,Production de jus,1,2011-06-11,
ACT-000006,CLT-000004,INS-001,SERVICES,Coiffure,0,2011-06-11,
ACT-000007,CLT-000005,INS-001,COMMERCE,Commerce de condiments,1,2015-11-18,
ACT-000008,CLT-000006,INS-001,COMMERCE,Boutique de quartier,1,2010-11-13,
ACT-000009,CLT-000007,INS-001,TRANSPORT,Location de tricycle,1,2013-05-01,
ACT-000010,CLT-000008,INS-001,TRANSPORT,Location de tricycle,1,2015-06-06,
ACT-000011,CLT-000009,INS-001,COMMERCE,Vente de tissus,1,2007-04-30,
ACT-000012,CLT-000009,INS-001,ARTISANAT,Menuiserie,0,2007-04-30,
ACT-000013,CLT-000010,INS-001,COMMERCE,Vente de céréales,1,2017-03-30,
ACT-000014,CLT-000010,INS-001,AGRICULTURE,Culture maraîchère,0,2017-03-30,
ACT-000015,CLT-000011,INS-001,TRANSPORT,Location de tricycle,1,2011-10-30,
ACT-000016,CLT-000011,INS-001,COMMERCE,Boutique de quartier,0,2011-10-30,
ACT-000017,CLT-000012,INS-001,COMMERCE,Boutique de quartier,1,2018-07-01,
ACT-000018,CLT-000013,INS-001,SERVICES,Réparation de téléphones,1,2019-03-14,
ACT-000019,CLT-000014,INS-001,SERVICES,Secrétariat public,1,2018-07-19,
ACT-000020,CLT-000015,INS-001,COMMERCE,Vente de céréales,1,2015-11-02,
ACT-000021,CLT-000016,INS-001,COMMERCE,Vente de tissus,1,2015-09-05,
ACT-000022,CLT-000017,INS-001,COMMERCE,Vente de tissus,1,2020-12-11,
ACT-000023,CLT-000018,INS-001,COMMERCE,Vente de tissus,1,2018-02-26,
ACT-000024,CLT-000019,INS-001,ARTISANAT,Forge,1,2020-11-08,
ACT-000025,CLT-000020,INS-001,COMMERCE,Vente de tissus,1,2020-11-22,
ACT-000026,CLT-000021,INS-001,ARTISANAT,Menuiserie,1,2016-12-03,
ACT-000027,CLT-000022,INS-001,SERVICES,Cabine de communication,1,2013-07-14,
ACT-000028,CLT-000023,INS-001,COMMERCE,Vente de céréales,1,2022-06-06,
ACT-000029,CLT-000023,INS-001,RESTAURATION,Restaurant de rue,0,2022-06-06,
ACT-000030,CLT-000024,INS-001,COMMERCE,Vente de céréales,1,2015-09-25,
ACT-000031,CLT-000024,INS-001,RESTAURATION,Restaurant de rue,0,2015-09-25,
ACT-000032,CLT-000025,INS-001,ARTISANAT,Teinture de tissus,1,2015-05-21,
ACT-000033,CLT-000026,INS-001,SERVICES,Réparation de téléphones,1,2017-05-01,
ACT-000034,CLT-000027,INS-001,COMMERCE,Vente de tissus,1,2021-11-29,
ACT-000035,CLT-000028,INS-001,RESTAURATION,Vente de repas,1,2017-06-18,
ACT-000036,CLT-000029,INS-001,RESTAURATION,Vente de repas,1,2021-11-25,
ACT-000037,CLT-000030,INS-001,COMMERCE,Commerce de condiments,1,2012-09-05,
ACT-000038,CLT-000030,INS-001,RESTAURATION,Préparation de jus,0,2012-09-05,
ACT-000039,CLT-000031,INS-001,TRANSPORT,Livraison de marchandises,1,2022-01-18,
ACT-000040,CLT-000032,INS-001,PETITE_PRODUCTION,Transformation de céréales,1,2021-07-21,
ACT-000041,CLT-000033,INS-001,COMMERCE,Commerce de condiments,1,2012-12-05,
ACT-000042,CLT-000034,INS-001,COMMERCE,Commerce de condiments,1,2009-03-06,
ACT-000043,CLT-000035,INS-001,COMMERCE,Commerce de condiments,1,2012-10-26,
ACT-000044,CLT-000036,INS-001,SERVICES,Réparation de téléphones,1,2021-07-07,
ACT-000045,CLT-000037,INS-001,COMMERCE,Commerce de condiments,1,2012-11-25,
ACT-000046,CLT-000038,INS-001,COMMERCE,Boutique de quartier,1,2021-07-03,
ACT-000047,CLT-000039,INS-001,COMMERCE,Boutique de quartier,1,2024-01-07,
ACT-000048,CLT-000040,INS-001,COMMERCE,Vente de céréales,1,2023-05-10,
ACT-000049,CLT-000041,INS-001,ARTISANAT,Menuiserie,1,2024-09-16,
ACT-000050,CLT-000041,INS-001,COMMERCE,Vente de céréales,0,2024-09-16,
ACT-000051,CLT-000042,INS-001,COMMERCE,Commerce de condiments,1,2022-07-30,
ACT-000052,CLT-000043,INS-001,COMMERCE,Boutique de quartier,1,2019-05-30,
ACT-000053,CLT-000044,INS-001,ARTISANAT,Forge,1,2018-06-21,
ACT-000054,CLT-000045,INS-001,TRANSPORT,Location de tricycle,1,2018-09-10,
ACT-000055,CLT-000045,INS-001,ARTISANAT,Couture,0,2018-09-10,
ACT-000056,CLT-000046,INS-001,RESTAURATION,Vente de repas,1,2017-05-02,
ACT-000057,CLT-000047,INS-001,COMMERCE,Vente de tissus,1,2021-09-14,
ACT-000058,CLT-000048,INS-001,SERVICES,Cabine de communication,1,2016-09-16,
ACT-000059,CLT-000048,INS-001,COMMERCE,Commerce de condiments,0,2016-09-16,
ACT-000060,CLT-000049,INS-001,COMMERCE,Boutique de quartier,1,2020-10-30,
ACT-000061,CLT-000050,INS-001,COMMERCE,Vente de tissus,1,2024-01-26,
